Symbol	Ballooning_1_vs_control	Ballooning_1_vs_control_pvalue	Ballooning_2_vs_control	Ballooning_2_vs_control_pvalue
BACH2	-0.12730049	0.93339	-0.4794866	0.0521
LOC105378329	-0.09496692	0.93339	0.0779513	0.707
SYT9	-0.06865535	0.93339	-0.2547624	0.117
SESN3	-0.06277109	0.93339	0.0269502	0.853
PRB4	0.14681888	0.93339	0.1735382	0.607
VASH1-AS1	-0.04385852	0.93339	-0.0761955	0.417
PDE4C	0.13490198	0.93339	-0.0428628	0.898
ZNF225	-0.02893725	0.93339	-0.1073339	0.116
FAM104B	-0.05576882	0.93339	-0.0679283	0.444
CFAP69	-0.05217403	0.93359	-0.1543069	0.152
TSPAN4	0.06532455	0.93359	0.0660159	0.629
CALM1	-0.04460078	0.93359	-0.1096422	0.229
ASDURF	-0.04213311	0.93364	0.060508	0.491
ZNF682	0.09925257	0.93364	0.1340583	0.54
ABCD3	-0.04492557	0.93398	-0.0011489	0.993
CREG1	0.05012976	0.93398	0.1316308	0.119
DBI	0.06464352	0.93398	-0.0316761	0.826
FBXO36	0.06219131	0.93398	0.1390703	0.244
LOC105376952	-0.05881805	0.93398	-0.0773819	0.597
ACAD9	-0.029358	0.93398	-0.0425505	0.458
HSPA1A	-0.08388272	0.93398	-0.0408762	0.835
LOC105375097	0.23831084	0.93398	0.2560914	0.641
PPP1R35-AS1	0.07711319	0.93398	0.0635388	0.68
GSTK1	0.04161868	0.93398	-0.0181778	0.856
INTS8	-0.02234729	0.93398	0.0062813	0.92
MRPL41	0.08346316	0.93398	-0.0798428	0.637
IFITM2	0.08434108	0.93398	0.0711659	0.669
EHF	0.15706151	0.93398	-0.0020714	0.997
LOC105369334	-0.0699698	0.93398	-0.1835821	0.247
SPG21	0.04419924	0.93398	0.157069	0.119
GLCE	-0.04682074	0.93398	0.0267335	0.796
EMP2	-0.05780761	0.93398	-0.2337825	0.0448
SETD1A	-0.06330513	0.93398	-0.0761074	0.574
TMEM101	-0.03569736	0.93398	-0.142888	0.0357
ZNF543	-0.04000884	0.93398	0.0131884	0.885
SOX12	0.06551419	0.93398	0.1900816	0.223
BRMS1L	0.05232669	0.93413	0.1559791	0.0928
PTPRVP	0.10375751	0.93419	-0.2766119	0.231
ARID1A	-0.0538804	0.93419	-0.0477115	0.694
TATDN3	0.04098034	0.93427	0.028001	0.733
ENTPD3-AS1	-0.07274256	0.93427	-0.1202924	0.414
LOC105376572	0.12327999	0.93427	-0.0664669	0.825
ADGRE4P	-0.0789925	0.93427	0.0331639	0.882
LOC105378626	-0.11339381	0.93439	0.0305177	0.929
TCEA1	-0.02775296	0.93439	0.0194503	0.778
LOC100288123	-0.08202735	0.93439	-0.3304207	0.0574
TNFRSF14	0.04155032	0.9345	-0.0095712	0.926
PINK1	0.05735185	0.9345	-0.105925	0.355
LINC00339	-0.0490222	0.9345	-0.0771962	0.439
RUNX3-AS1	0.12444635	0.9345	0.2270915	0.398
ZFP69	-0.04292415	0.9345	0.0737811	0.417
ANXA9	0.04832865	0.9345	-0.0573542	0.599
TDRKH	0.0858846	0.9345	0.2639279	0.137
CREB3L4	0.04668582	0.9345	-0.1291705	0.12
REN	-0.10980323	0.9345	-0.4625471	0.0701
LINC00299	0.13633487	0.9345	0.1401415	0.663
ABHD1	-0.05315457	0.9345	0.0045972	0.978
OXER1	-0.09532014	0.9345	-0.3359807	0.0939
LOC105377111	0.08441403	0.9345	-0.0761819	0.704
IQCB1	-0.03957276	0.9345	0.0578142	0.51
RNF13	-0.03704389	0.9345	0.0577275	0.399
LINC02015	0.0939611	0.9345	0.4413872	0.0143
BST1	0.09803972	0.9345	-0.0116348	0.966
LOC102723331	-0.06623339	0.9345	-0.1035546	0.496
ARRDC3	-0.08020525	0.9345	-0.3859763	0.0236
UBE2B	0.05315998	0.9345	0.1736107	0.0632
PWWP2A	-0.02496883	0.9345	0.0272986	0.663
H4C1	0.13546511	0.9345	0.5011209	0.0433
H3C4	0.0835856	0.9345	0.3037658	0.0391
TPI1P3	-0.06780577	0.9345	-0.1298935	0.385
CALHM6	0.14461083	0.9345	0.3179338	0.291
ADGRG6	-0.05604951	0.9345	-0.1965259	0.0615
CUX1	-0.02447674	0.9345	0.0494906	0.42
OR2A20P	-0.08563461	0.9345	-0.0084582	0.976
CIBAR1	-0.03301029	0.9345	0.0219257	0.736
BAAT	-0.07207633	0.9345	-0.092842	0.599
ZNRD2	0.07019817	0.9345	0.0436252	0.75
P2RY6	0.08598401	0.9345	0.1576387	0.432
LOC112268079	0.12487294	0.9345	0.0330722	0.912
BUD13	-0.0283893	0.9345	-0.0470848	0.454
PHB2	0.05506797	0.9345	0.065019	0.586
SLC38A4	-0.05957141	0.9345	-0.1808938	0.192
SZRD1P1	-0.14482887	0.9345	-0.0674234	0.849
SSH1	0.03424898	0.9345	0.1675167	0.0497
MOAP1	0.03524276	0.9345	0.0353672	0.707
TRH-GTG1-8	-0.1014817	0.9345	-0.0972806	0.768
MYEF2	0.14760382	0.9345	0.2962112	0.324
FBXO22	0.03163531	0.9345	0.0744786	0.211
KIFC3	0.06608825	0.9345	-0.0174995	0.917
CFAP20	-0.03931201	0.9345	-0.0578866	0.466
LOC107985012	0.07906134	0.9345	-0.1371401	0.424
ZNF652	-0.02949271	0.9345	-0.0305982	0.641
TBC1D3P1-DHX40P1	-0.03213138	0.9345	0.0217568	0.772
TMEM94	0.04552363	0.9345	-0.0303123	0.779
GALK1	0.09485106	0.9345	-0.1977042	0.29
STXBP2	0.03571697	0.9345	0.0627824	0.479
TIMM44	0.03907795	0.9345	0.0594075	0.538
RAB8A	0.0425838	0.9345	0.2285543	0.0279
ZNF726	0.09876313	0.9345	-0.1179871	0.594
ZNF569	-0.03888178	0.9345	-0.0029271	0.976
ZNF578	0.06963521	0.9345	-0.1394546	0.337
ZNF773	-0.07912847	0.9345	-0.1464032	0.364
NECAB3	0.04796057	0.9345	0.0040005	0.976
BLCAP	0.04010014	0.9345	0.0053167	0.96
STX16-NPEPL1	-0.03505167	0.9345	-0.022686	0.802
FAM247D	0.07487678	0.9345	0.4849668	0.00791
ZMAT5	0.06188135	0.9345	0.0104354	0.935
ARMCX4	-0.05727631	0.9345	-0.0976427	0.406
LONRF3	-0.06329827	0.9345	-0.2008475	0.155
RNU4-2	0.14849039	0.9345	0.0558756	0.872
GPR137	0.05462309	0.93465	0.0235933	0.834
LOC107985949	-0.08384114	0.93467	0.0830535	0.691
STIM2-AS1	-0.10316282	0.93467	-0.3570737	0.0377
SNAPC3	0.02577153	0.93467	0.0927153	0.0191
SPOP	-0.01829341	0.93467	0.0152809	0.752
CYB5A	0.05758405	0.93467	-0.0009263	0.996
SLC38A3	-0.05320172	0.9348	-0.1983261	0.124
LINC01348	0.0774332	0.9348	0.0867165	0.663
LOC105379243	0.07477535	0.9348	0.0454995	0.819
MT1G	-0.17414109	0.9348	-0.5698138	0.105
CASTOR3P	0.10627252	0.93501	-0.0113826	0.968
ZKSCAN8P1	-0.09608352	0.93509	-0.291077	0.0808
CPSF1	0.05419161	0.93509	-0.0706329	0.555
FAAP100	-0.04817396	0.93509	-0.0527771	0.551
ZNF593	0.07924623	0.9354	0.183981	0.256
CFHR3	-0.18038902	0.9354	-0.4108619	0.194
BTD	-0.03894938	0.9354	-0.1785347	0.0525
DCAF1	-0.02561117	0.9354	0.0205324	0.669
GNL3	-0.03585839	0.9354	0.1142452	0.173
RABL3	-0.03179066	0.9354	0.0661117	0.344
CDV3	-0.03900623	0.9354	0.0410243	0.654
SMN2	-0.05365796	0.9354	0.018158	0.895
EEF1A1	-0.03892013	0.9354	-0.0846979	0.327
PHACTR2-AS1	0.08394649	0.9354	0.1627272	0.378
FREM1	-0.07359439	0.9354	-0.1801192	0.267
DENND1A	-0.04109332	0.9354	-0.0463935	0.664
LOC107984256	0.08631369	0.9354	-0.0166904	0.949
ZNF202	-0.0339759	0.9354	0.0042193	0.966
PTMS	0.04846692	0.9354	-0.1283789	0.207
PXN-AS1	0.05594006	0.9354	-0.0764103	0.618
COX6A2	0.21609445	0.9354	0.0310882	0.951
MMP15	0.05851293	0.9354	0.1041174	0.416
FTSJ3	-0.04450823	0.9354	-0.0136448	0.901
ADAM33	0.26200351	0.9354	-0.077274	0.906
LOC107985678	0.0684552	0.9354	-0.0622139	0.738
C1orf109	-0.0354363	0.93554	-0.0151785	0.878
MKNK1	-0.03131911	0.93554	-0.0561873	0.405
C1orf162	-0.0404557	0.93554	-0.0640121	0.487
LYSMD1	-0.0392032	0.93554	-0.1211959	0.073
CHRNB2	0.03327129	0.93554	0.0992993	0.243
SH3BP5L	0.03768776	0.93554	0.0016065	0.983
BOLA3-DT	-0.05360905	0.93554	-0.0043856	0.975
MRPL53	0.07109396	0.93554	-0.0440255	0.795
UBE2E3	0.0350391	0.93554	0.1509123	0.00791
LINC01963	-0.08968035	0.93554	-0.173077	0.306
SNORA7A	0.11584726	0.93554	-0.3782769	0.0922
COPG1	0.04520934	0.93554	0.0489167	0.586
LOC105377362	-0.18422558	0.93554	0.0670667	0.887
DCLK2	-0.06995748	0.93554	0.114977	0.523
PRLR	-0.06392485	0.93554	-0.1710973	0.19
LOC107986348	0.12360146	0.93554	0.0567743	0.83
LOC112267951	0.07539182	0.93554	-0.1213689	0.504
MAPK9	-0.02174715	0.93554	0.0570879	0.217
CFB	-0.05338619	0.93554	-0.1928327	0.0754
TFB1M	0.02847392	0.93554	0.0142749	0.869
RP9P	0.05471007	0.93554	0.0724573	0.553
LOC107986985	-0.05417955	0.93554	-0.0949728	0.433
STOML2	0.04239635	0.93554	0.0201547	0.858
LOC107987085	-0.23387433	0.93554		
LOC105376384	-0.03457484	0.93554	0.0534077	0.509
ZBED5	-0.02833974	0.93554	0.0827382	0.244
MPZL3	0.05899299	0.93554	0.2189167	0.0561
H2AX	0.09980957	0.93554	0.4100837	0.0199
KLRB1	0.10693449	0.93554	0.2754058	0.161
ZNF740	-0.03980608	0.93554	-0.1541008	0.0622
TSFM	0.04257322	0.93554	0.0300449	0.791
PPP1R12A	-0.03057566	0.93554	0.0517945	0.501
NHLRC3	0.03059699	0.93554	0.0040034	0.97
DHRS1	-0.06286118	0.93554	-0.3226287	0.0151
TTC6	-0.06791792	0.93554	-0.2862972	0.0293
HERC2P9	-0.05711035	0.93554	-0.080394	0.383
ZNF688	-0.06672297	0.93554	-0.1175299	0.262
SLC25A35	0.09152612	0.93554	0.1733018	0.36
ZACN	0.0372062	0.93554	0.0218552	0.788
FERMT1	0.13343075	0.93554	0.6467016	0.0079
NFAM1	0.0733904	0.93554	0.1782096	0.24
NUP50	-0.0303032	0.93554	0.0044399	0.94
CA5BP1-CA5B	0.03949584	0.93554	0.0627538	0.548
CHM	-0.02779951	0.93554	0.1100452	0.0477
MYCBP2	-0.03258614	0.93559	-0.1077388	0.122
MORN2	0.08824623	0.9357	0.0661266	0.664
LINC02576	0.09764477	0.9357	0.0451443	0.874
CAPN15	-0.06649274	0.9357	-0.1850015	0.0974
NDUFA6	0.0606207	0.93571	0.1699414	0.202
LOC101929894	-0.06904508	0.93579	-0.2150863	0.0775
LOC728024	-0.05606505	0.93592	-0.0846865	0.479
ZDHHC3	0.02231719	0.93595	0.0669681	0.132
THG1L	-0.03248332	0.93595	-0.0897583	0.22
MGAM	0.13519015	0.93595	0.3806125	0.216
TECTA	0.08235563	0.93595	0.2773859	0.173
ABCD1	0.05870792	0.936	0.0986944	0.458
PDE6D	0.05620956	0.93608	0.2235456	0.0157
TMED5	0.04593011	0.93609	0.3036115	3.28e-05
NAV2-AS5	-0.13723984	0.93609	-0.892606	0.000598
ME3	-0.04280566	0.93614	-0.0580816	0.598
LOC101928045	-0.06303195	0.93616	-0.1037548	0.456
NDUFS5	0.062603	0.93623	0.0666134	0.636
LINC01320	0.22506362	0.93623	0.1128317	0.834
LOC107985962	-0.3427388	0.93623	0.0230266	0.981
CRY2	-0.04969076	0.93636	-0.2342194	0.0182
ABHD2	0.05666828	0.93636	0.0148503	0.918
EXOSC5	0.06814927	0.93636	-0.0542304	0.703
RHOXF2	-0.078162	0.93636	-0.1595198	0.458
MTHFD2	0.09662413	0.93642	0.5220974	0.0137
SNORA40B	0.08978195	0.93642	0.0533849	0.797
MIR302CHG	-0.03469759	0.93642	-0.0062915	0.949
KLHDC10	-0.03605284	0.93642	-0.1304899	0.0469
LOC107987014	-0.08342681	0.93642	-0.1356887	0.505
STPG3-AS1	0.07845967	0.93642	-0.4366633	0.0142
COMMD3-BMI1	0.03094735	0.93642	0.1267215	0.0195
ZEB1-AS1	0.05064844	0.93642	0.1200738	0.29
MAPKAPK5	-0.0250777	0.93642	-0.0581535	0.293
MPPED1	-0.15305603	0.93642	0.0175113	0.966
RAB41	-0.0902713	0.93642	-0.0370249	0.863
RTCA-AS1	-0.06884997	0.93647	-0.1641073	0.282
LOC107986512	-0.07502515	0.93647	-0.0744299	0.654
CACTIN-AS1	-0.05847912	0.93647	-0.1444748	0.222
ZC3H12A	0.05161547	0.93661	0.3242997	0.0132
RCAN3	0.05820088	0.93663	-0.0341903	0.799
LOC646471	-0.04237339	0.93663	-0.2918604	0.00109
TMEM53	0.04909826	0.93663	-0.1051478	0.326
PRDX1	0.05067142	0.93663	0.0850839	0.444
LRRC41	-0.0283227	0.93663	0.0220173	0.739
NFIA	-0.03643743	0.93663	-0.0974537	0.236
SPATA1	-0.04610312	0.93663	0.0141181	0.903
NBPF20	-0.04888559	0.93663	0.0144169	0.921
INTS3	-0.03149045	0.93663	-0.0739359	0.194
LOC102724754	-0.1113869	0.93663	0.0449382	0.896
DHX9	-0.0262129	0.93663	0.0532967	0.344
ITPKB	0.04605178	0.93663	0.0898279	0.358
HEATR1	-0.02571906	0.93663	0.0492439	0.351
TRAPPC12	-0.03682135	0.93663	-0.0778754	0.304
ITGB1BP1	0.03963219	0.93663	0.0849819	0.315
CPSF3	0.02977975	0.93663	0.081928	0.204
TSGA10	-0.06292347	0.93663	-0.0325226	0.865
RNF25	-0.0394406	0.93663	0.0323658	0.702
LOC112268433	-0.15097928	0.93663	-0.2341985	0.484
EIF1B-AS1	0.06587229	0.93663	-0.1205254	0.481
PTH1R	-0.06647039	0.93663	-0.323056	0.0149
ATRIP	0.04036224	0.93663	-0.0693444	0.476
RBM5-AS1	-0.03231482	0.93663	-0.2116516	0.0011
FLNB	-0.04007097	0.93663	-0.0892613	0.198
POLN	-0.04476822	0.93663	0.0394893	0.743
LOC100506514	-0.06648152	0.93663	0.0309715	0.853
RUFY3	-0.02702367	0.93663	-0.0481167	0.491
HSD17B11	-0.10364805	0.93663	-0.1828716	0.387
HPGDS	0.13552701	0.93663	0.1156548	0.678
SPRY1	0.05063485	0.93663	0.0857396	0.579
LOC729558	0.05487723	0.93663	0.0732558	0.55
CLPTM1L	0.0852969	0.93663	0.0186097	0.935
ANKRD55	-0.06058041	0.93663	0.0681349	0.587
ANKRA2	-0.0381005	0.93663	-0.0210945	0.806
CETN3	0.03426858	0.93663	0.0290251	0.712
TMEM232	-0.07567093	0.93663	-0.3241927	0.0485
PCDHB14	-0.11316511	0.93663	-0.1310014	0.644
SAP30L	-0.03613405	0.93663	-0.0572667	0.484
HRH2	0.09758619	0.93663	0.3014625	0.193
LOC105374898	0.07624319	0.93663	-0.1091189	0.547
ATAT1	-0.05614086	0.93663	-0.0322549	0.801
HCG26	0.10016946	0.93663	0.2131422	0.363
RPL7L1	-0.02293242	0.93663	0.0287855	0.679
POLR1C	-0.03589089	0.93663	-0.0175848	0.846
LINC02523	-0.14427513	0.93663	-0.7313096	0.00874
CCDC28A-AS1	-0.07510622	0.93663	-0.0799348	0.733
LOC107986650	-0.0914633	0.93663	-0.1390228	0.531
SFT2D1	-0.04547706	0.93663	-0.0092412	0.926
FSCN1	0.06308027	0.93663	0.1780968	0.214
SEC61G	0.08089691	0.93663	0.1691246	0.232
INTS4P1	-0.06174668	0.93663	-0.1715737	0.169
MDH2	0.03556059	0.93663	-0.006621	0.949
FGL2	0.07277898	0.93663	0.3212161	0.0403
ELAPOR2	0.10166115	0.93663	0.5521308	0.0384
ARPC1A	0.03506229	0.93663	0.0570791	0.497
BUD31	0.04304661	0.93663	0.0877616	0.256
CYP3A5	-0.0783641	0.93663	-0.0858669	0.654
MUC3A	-0.3458022	0.93663	0.2992236	0.722
LOC101928451	-0.05076926	0.93663	-0.1078608	0.362
SLC25A37	-0.05281094	0.93663	-0.2766209	0.00288
RNF122	0.07895927	0.93663	0.217251	0.198
UQCRB	0.06572699	0.93663	0.0353187	0.789
LOC105375691	-0.08494799	0.93663	-0.2507286	0.26
LRP12	0.08346909	0.93663	0.2979983	0.0486
ANXA13	0.18161952	0.93663	0.2370825	0.599
AQP7	-0.06673306	0.93663	-0.3240953	0.017
PIGO	-0.0306199	0.93663	-0.0570254	0.358
FBXO10	0.04231751	0.93663	0.1036252	0.277
LOC105379251	0.08528366	0.93663	0.2516032	0.121
SMC5	-0.03358553	0.93663	-0.0139467	0.846
LOC112268050	-0.17728005	0.93663	0.0623597	0.89
LOC101930421	-0.08351432	0.93663	-0.1615916	0.341
NMT2	-0.03370057	0.93663	-0.0813977	0.273
CCDC7	-0.06720998	0.93663	0.0307014	0.815
WDFY4	0.06698356	0.93663	0.0899814	0.565
KIF11	-0.0631573	0.93663	0.0790226	0.633
ENTPD1	0.05387692	0.93663	0.2309394	0.0611
KCNIP2	0.08062421	0.93663	-0.1984248	0.206
LOC103344931	-0.03891369	0.93663	-0.0953351	0.232
HSPA12A	0.07496606	0.93663	0.1600692	0.356
MOB2	0.05079503	0.93663	-0.0538743	0.573
SNORA3A	0.0829816	0.93663	-0.1809846	0.299
SLC39A13	0.05173258	0.93663	-0.0021778	0.987
EHD1	0.04695897	0.93663	-0.030267	0.741
PPP2R1B	-0.04675234	0.93663	-0.1010608	0.313
LOC101928875	-0.24152049	0.93663	-0.2910919	0.608
CLEC2B	0.07456643	0.93663	0.2201055	0.117
IRAK4	-0.02969252	0.93663	0.0913117	0.103
SLC39A5	0.05142736	0.93663	-0.1873543	0.14
PIP4K2C	0.02881901	0.93663	0.1896587	0.00165
HELB	-0.05116494	0.93663	-0.0075601	0.96
SH2B3	0.05917416	0.93663	0.3401043	0.0011
LOC105370103	0.0970134	0.93663	-0.0700262	0.792
MICU2	0.04467042	0.93663	0.1934285	0.00199
LRCH1	-0.04646993	0.93663	0.0477064	0.713
DZIP1	0.09399408	0.93663	0.1150862	0.627
LOC101927385	-0.05386715	0.93663	0.0965239	0.282
PIP4P1	0.05358951	0.93663	0.2152135	0.142
LOC105370447	0.03789903	0.93663	0.1012577	0.24
LOC105370622	-0.08979938	0.93663	-0.0559634	0.821
IFI27	0.13866713	0.93663	1.8876035	0.00026
LOC101928039	0.15822928	0.93663	-0.536558	0.12
JMJD7-PLA2G4B	-0.04630743	0.93663	-0.2280612	0.00432
STARD9	0.06058906	0.93663	0.0132215	0.935
GOLGA6L10	-0.07516207	0.93663	-0.1902461	0.221
RHOT2	-0.03663146	0.93663	-0.1548295	0.00879
LOC107984895	0.09186103	0.93663	0.0854925	0.68
MMP25-AS1	-0.10389763	0.93663	0.0156571	0.955
ZNF205-AS1	0.0838248	0.93663	-0.133528	0.421
LINC00921	0.06400414	0.93663	-0.1082372	0.557
LOC105371059	0.05360245	0.93663	-0.0761169	0.539
CIITA	0.0438625	0.93663	0.0998488	0.389
SNN	0.04941321	0.93663	0.0386273	0.718
ZNF48	0.04573307	0.93663	0.0050866	0.962
TGFB1I1	-0.06820371	0.93663	0.0649255	0.702
CCDC102A	-0.08916716	0.93663	0.0309313	0.9
CES2	0.03988945	0.93663	-0.0286915	0.799
PSMD7	0.03794066	0.93663	0.1254845	0.102
ZNF594-DT	-0.04940735	0.93663	-0.038582	0.75
SPAG5-AS1	0.03562708	0.93663	-0.088738	0.238
FAM222B	0.03604251	0.93663	0.129585	0.0867
SNF8	0.0366869	0.93663	-0.0077002	0.932
PRO1804	-0.07157192	0.93663	-0.1599603	0.289
LOC105371922	-0.072041	0.93663	-0.1233105	0.474
PCYT2	-0.06551578	0.93663	-0.1919676	0.18
TGIF1	-0.04427201	0.93663	-0.0416847	0.747
MTCL1	0.08271514	0.93663	0.2018506	0.264
ZNF516	-0.04079333	0.93663	-0.1672448	0.023
C3	-0.0504071	0.93663	-0.1898796	0.0494
ZNF557	-0.01978072	0.93663	-0.0510561	0.329
ANGPTL6	0.05015884	0.93663	-0.2082622	0.0487
DNM2	0.02640304	0.93663	0.0662502	0.198
ARMC6	0.07697305	0.93663	0.0522107	0.8
MAU2	-0.03729765	0.93663	-0.1215711	0.0323
LINC00665	0.10275321	0.93663	0.1738709	0.538
CEACAM20	0.20910811	0.93663	-0.2102206	0.676
LOC105372432	-0.05182785	0.93663	-0.3540424	0.00529
PTOV1	0.0383751	0.93663	-0.0492155	0.585
ZNF432	-0.03455287	0.93663	0.0006486	0.996
FKBP1AP1	-0.06573786	0.93663	0.0302154	0.843
NRSN2-AS1	0.08719957	0.93663	0.1014047	0.627
IL10RB	0.03862408	0.93663	0.0600385	0.545
SETD4	-0.02794814	0.93663	-0.0631635	0.355
PRDM15	-0.04832355	0.93663	-0.110301	0.22
LOC105372989	-0.05196801	0.93663	-0.3348867	0.00301
LOC389906	0.05752128	0.93663	0.3815499	0.000271
BMX	0.10814571	0.93663	-0.049277	0.856
AP1S2	0.06272208	0.93663	0.2302481	0.046
GLUD2	-0.04163572	0.93663	-0.1237013	0.263
PRKY	-0.38451656	0.93663	-0.6831193	0.412
TRNG	0.11542131	0.93663	0.07387	0.767
RNF144B	-0.05264536	0.93674	-0.1221793	0.284
RWDD1	0.04805295	0.9368	0.109664	0.16
CAMTA2	-0.04136524	0.9368	-0.0887522	0.275
CROCCP2	-0.07170295	0.93688	-0.3381253	0.0159
NAXE	0.05033722	0.93688	0.0581571	0.605
TAF1A	-0.04467893	0.93688	0.1064948	0.24
ARL6IP6	0.0289327	0.93688	0.0723194	0.259
LOC107985780	0.06109604	0.93688	0.092969	0.508
TTC30B	-0.03752131	0.93688	-0.0961516	0.204
UBE2E3-DT	-0.09620302	0.93688	-0.4929779	0.0172
RBM44	-0.09534514	0.93688	-0.2207808	0.313
CIDECP1	0.05396272	0.93688	0.1468108	0.142
RPSA	0.06127152	0.93688	0.0496451	0.736
POPDC2	0.12599818	0.93688	-0.210371	0.35
ISY1-RAB43	-0.04495216	0.93688	-0.1913144	0.0138
LOC105374521	0.09542987	0.93688	-0.1908872	0.358
RANBP3L	-0.09418447	0.93688	-0.1338124	0.571
NQO2	0.07261673	0.93688	-0.1126345	0.561
TUBB2A	0.08666799	0.93688	0.0101933	0.966
RPL10A	0.05625694	0.93688	0.0311452	0.826
TOMM6	0.05691306	0.93688	0.0926777	0.344
SRI-AS1	0.07126117	0.93688	0.210599	0.102
OPN1SW	0.08385377	0.93688	0.1083612	0.565
AGK	-0.02951087	0.93688	-0.0129563	0.858
LOC731075	-0.04958704	0.93688	-0.1137714	0.281
RPL30	0.07875057	0.93688	0.0295396	0.856
EFR3A	0.02991313	0.93688	0.122626	0.0891
LOC105375969	-0.1151238	0.93688	-0.4216449	0.0769
RPSAP9	0.05609617	0.93688	-0.0072019	0.964
PTRH1	0.07360228	0.93688	0.1993603	0.213
SPOUT1	-0.04315523	0.93688	-0.095962	0.267
CFAP46	-0.18908348	0.93688	-0.0434586	0.931
FHIP1B	-0.03590379	0.93688	-0.1242866	0.131
FRMD8	-0.0403338	0.93688	-0.0066488	0.946
NCAM1	-0.10830805	0.93688	-0.2663184	0.204
A2M	0.14580611	0.93688	0.3010394	0.329
PCBP2-OT1	-0.09229691	0.93688	0.0805209	0.746
RIC8B	-0.04620938	0.93688	0.1213102	0.316
TMEM263	0.04653588	0.93688	0.2868777	0.00015
SRSF9	0.03262475	0.93688	0.0207862	0.783
DLEU7	-0.12873669	0.93688	0.014048	0.974
KIF23	0.11945938	0.93688	0.6422596	0.0131
LOC101927026	0.12817074	0.93688	-0.1237075	0.718
NPIPA7	-0.0404016	0.93688	-0.0614174	0.526
LOC102725116	-0.07689897	0.93688	-0.3416422	0.0516
TANGO6	-0.04659577	0.93688	-0.2057235	0.0463
ADORA2B	0.11235214	0.93688	0.1526411	0.591
RAI1	0.05981315	0.93688	0.0721215	0.673
MYO1D	0.03669776	0.93688	0.0968168	0.291
OSBPL1A	-0.07081446	0.93688	0.0693952	0.678
NDUFS7	0.07539665	0.93688	-0.0272396	0.881
APMAP	0.04986963	0.93688	-0.0181297	0.885
KANTR	-0.04200736	0.93688	-0.1979338	0.0347
ND5	0.11739142	0.93702	0.2318287	0.396
IGKJ3	0.24684909	0.93705	0.3226377	0.532
CDC42BPB	-0.03834722	0.93706	-0.1053528	0.0473
RAD9A	0.04566311	0.93723	-0.0171989	0.882
TAF5L	0.02466248	0.93732	0.049642	0.451
ATP8B1	0.05362759	0.93732	0.221819	0.0165
NDUFS3	0.05302463	0.93732	-0.0212446	0.879
RFX2	-0.07093075	0.93736	-0.2040924	0.254
TMEM50A	0.04693203	0.93764	0.238609	0.0153
KPNA6	0.02773039	0.93764	0.0941909	0.0739
TARS2	-0.0417687	0.93764	-0.2678555	0.000415
DTNB-AS1	-0.05508966	0.93764	0.0508214	0.741
MAP4K3-DT	-0.04889179	0.93764	-0.1140031	0.186
C2orf49-DT	-0.04242547	0.93764	-0.0811676	0.412
OSBPL6	-0.09793921	0.93764	-0.2189073	0.293
DALRD3	-0.03366097	0.93764	0.0198328	0.809
LOC105374101	0.06162328	0.93764	0.0206751	0.912
PLD1	-0.04845821	0.93764	-0.2618636	0.00084
POLR2H	0.04238816	0.93764	0.0434912	0.644
NOCT	-0.08830419	0.93764	0.0376852	0.883
EFHC1	-0.03697626	0.93764	-0.0091323	0.948
UFL1	-0.02872254	0.93764	-0.0059664	0.934
FKBP14	0.0491681	0.93764	0.3239254	0.00185
DMTF1-AS1	0.07505403	0.93764	-0.006669	0.976
ASAP1-IT2	-0.07952409	0.93764	-0.0700787	0.737
CDK5RAP2	0.03655805	0.93764	0.1115705	0.134
ZBTB26	-0.036584	0.93764	0.0167094	0.847
PITRM1	0.03308872	0.93764	-0.0011304	0.991
ANAPC16	0.02624785	0.93764	-0.0407441	0.609
FAS-AS1	0.07822557	0.93764	0.2769847	0.0515
PAAF1	0.03011208	0.93764	-0.102871	0.108
REXO2	-0.0470146	0.93764	0.0993995	0.312
SMARCD1	-0.02619298	0.93764	0.1087703	0.128
LOC105370461	-0.04841131	0.93764	-0.1387404	0.28
RAMAC	0.03968362	0.93764	0.0794141	0.296
ZC3H7A	-0.02977693	0.93764	0.0448969	0.467
STX8	0.04304155	0.93764	0.0460452	0.647
IMPA2	-0.08362991	0.93764	-0.3692124	0.0164
TUBB6	0.03790577	0.93764	0.1076036	0.201
LMNB2	0.04925433	0.93764	0.2387057	0.00493
CHAF1A	0.03997501	0.93764	-0.0671521	0.481
ZNF177	0.07207743	0.93764	-0.0437845	0.806
POP4	0.04164386	0.93764	0.1316819	0.127
LOC107985289	-0.09432956	0.93764	0.0109476	0.97
LOC102724800	-0.10216341	0.93764	-0.0804488	0.762
YBEY	0.04314417	0.93764	0.0366667	0.792
LINC00106	0.13402845	0.93764	-0.1694727	0.521
TRAM2	-0.06751509	0.93787	0.014175	0.935
C8orf76	-0.03321737	0.93787	0.0824227	0.201
PEBP1	-0.03648279	0.93787	-0.139424	0.196
MMD	0.0733984	0.93787	0.5538047	0.00144
CAMKMT	-0.03154065	0.93789	-0.0935522	0.18
SPIRE1	-0.13809341	0.93789	0.066832	0.854
COMMD5	0.03795572	0.9384	0.1206668	0.13
MMP23B	0.07180819	0.93846	0.376332	0.0306
TRIM25	0.03986824	0.93846	0.0264174	0.798
CD55	-0.06804383	0.93869	0.0894476	0.604
