Symbol	Inflammation_1_v_Control	Inflammation_1_v_Control_pvalue	Inflammation_2_v_Control	Inflammation_2_v_Control_pvalue
BAALC	-0.16452585	0.601	-0.15694252	0.707
LOC105375943	-0.29430837	0.601		
UBQLN3	-0.31663972	0.601		
LMO2	0.13098694	0.601	0.23859492	0.398
TBC1D10C	0.13622856	0.601	0.31753983	0.271
GOT2	0.1242345	0.601	0.03710322	0.903
MIR320C1	0.30310719	0.601		
RNA45SN2	0.39343554	0.601	-0.07026003	0.893
LSAMP	-0.38769168	0.601	-0.24496017	0.788
LOC105374879	-0.35010782	0.601	-0.17322598	0.832
LOC107986529	-0.1367903	0.601	-0.2566444	0.488
NABP2	0.10532126	0.601	0.2265692	0.261
NOVA1	0.24970944	0.601	0.18787569	0.736
HCG27	-0.15856527	0.602	-0.48780582	0.0937
LOC112267899	-0.15037005	0.602	-0.50156342	0.167
SLC5A12	0.6793926	0.602	-0.91609322	0.407
SPR	0.08278192	0.602	0.1938435	0.286
LOC101928472	0.46851459	0.602		
LOC102724273	0.22154424	0.602	0.27099886	0.533
LOC727978	-0.16932673	0.602	-0.22780081	0.479
MIR762HG	0.12919575	0.602	0.00566823	0.985
LCTL	0.16463002	0.602	0.17539873	0.62
RAP2B	0.11374319	0.602	0.42086174	0.105
UBA7	0.07730613	0.602	0.10892002	0.631
SLC49A4	-0.06583435	0.602	-0.03218242	0.854
PPP1R32	-0.13525612	0.602	-0.50238669	0.0619
GPR82	0.13657216	0.602	0.24707381	0.36
FAM177A1	0.09817841	0.602	0.15769182	0.334
MRPL10	0.0704154	0.602	0.09720348	0.54
PPM1F	0.08623591	0.602	0.11667497	0.632
RTRAF	0.06400619	0.602	0.13336655	0.357
STARD10	0.12387319	0.602	0.01746766	0.965
GNAI3	0.0566821	0.602	0.14859976	0.34
GAS2L3	0.15914572	0.602	0.4351905	0.281
ADH1A	-0.11983827	0.602	-0.1455194	0.741
PTER	-0.0829435	0.602	-0.1113204	0.576
MFAP3L	-0.10964128	0.602	-0.18042244	0.504
AKR1C3	0.11545035	0.602	0.18739482	0.344
RC3H1	-0.04739307	0.602	-0.07349041	0.454
GALE	-0.09015619	0.602	-0.15402481	0.545
TOMM20	-0.05641635	0.602	-0.05904033	0.506
SCRN1	0.14137346	0.602	0.73975666	0.127
LOC107986974	0.29951573	0.602	-0.1530289	0.774
AKR1D1	-0.12444078	0.603	-0.42728306	0.273
PCDHB15	-0.16210722	0.603	0.23678461	0.532
PRRC2A	0.09991564	0.603	0.07064352	0.776
GNG12	0.09578252	0.603	0.24023045	0.214
POLDIP2	0.06100875	0.603	0.02045773	0.918
C17orf100	0.19057167	0.603	0.40452184	0.151
SMIM27	0.1023517	0.603	0.01499648	0.958
IGLC7	0.47196236	0.603	0.50926301	0.536
FAR2P2	0.21669604	0.603	-0.01836988	0.977
LOC105375384	-0.10549764	0.603	-0.09373599	0.693
ROM1	0.18066385	0.603	0.11300178	0.795
TMC8	0.11868823	0.603	0.24713543	0.357
FBXL8	0.15214831	0.603	-0.11870752	0.759
PTPRF	-0.10819861	0.603	-0.16530086	0.43
VPS13A-AS1	0.15509507	0.603	0.2635687	0.397
UNC45A	0.0829867	0.603	0.23362991	0.147
UGP2	0.09383357	0.603	-0.01293808	0.967
SNORD97	0.2100581	0.603	0.60717036	0.168
LOC105369946	0.12619571	0.603	-0.17841592	0.647
LOC107985405	0.07846643	0.603	0.12764944	0.472
HNRNPCL1	-0.21298567	0.603		
ANKRD36BP2	0.35470703	0.603	0.68169864	0.308
ZNF707	0.11828577	0.604	0.24176448	0.334
RSC1A1	-0.06607646	0.604	-0.23531623	0.173
KTI12	0.10029878	0.604	0.11474588	0.574
LOC105378298	0.28183704	0.604		
CPT1A	0.1942234	0.604	0.47749536	0.15
LOC107985712	-0.20440619	0.604	-0.78330746	0.14
LINC01106	0.17554971	0.604	0.44753637	0.116
TMEM63A	0.10768934	0.604	0.03079316	0.924
LOC101928081	-0.15579289	0.604	-0.40008917	0.133
CITED4	0.18981789	0.604	0.35244182	0.432
TCF7	-0.09762592	0.604	-0.0454677	0.885
LINC02515	-0.98130556	0.604		
RNF133	-0.20653222	0.604	-0.080272	0.861
SPC24	0.25636585	0.604	0.51702074	0.27
DOCK5	0.09240635	0.604	0.07210749	0.639
EPC1-AS1	-0.137071	0.604	-0.36436135	0.196
C10orf62	-0.23257482	0.604	-0.51101562	0.281
PNPO	0.05144724	0.604	0.00118396	0.996
ZNF180	-0.05618354	0.604	-0.07939544	0.495
ZNF28	-0.16778016	0.604	0.03640048	0.938
MBL2	-0.25600096	0.605	0.20390734	0.639
GGT3P	0.25044552	0.605	0.07082231	0.906
LOC112268284	0.43156961	0.605	0.026672	0.96
ZNF473	0.06351444	0.605	0.1425038	0.204
LOC105377496	-0.19535137	0.605	-0.30127163	0.42
TNC	0.27691685	0.605	0.35257888	0.466
KDM6A	-0.13897547	0.605	0.01054148	0.974
UBR3	-0.07317248	0.605	-0.213132	0.173
RNF150	0.1828634	0.605	0.23885707	0.347
PGA3	-0.42344385	0.605	-0.46282321	0.658
HSPB8	0.26379178	0.605	0.37849753	0.36
NAGPA	0.08620984	0.605	0.09443981	0.672
EPB41L1-AS1	-0.39632881	0.605		
ATOSB	0.07855722	0.605	0.15938466	0.468
OFD1	-0.08804227	0.605	-0.08340447	0.62
LOC105375330	-0.50360795	0.605	-1.16530827	0.116
RAC3	0.15448815	0.605	0.03661959	0.938
ATP2B2	-0.12358067	0.606	-0.24342085	0.36
SCX	0.19586055	0.606	0.03407617	0.951
SLCO1B1	-0.09449386	0.606	-0.23013255	0.402
USP12	-0.05278103	0.606	-0.09194198	0.534
ADAMTS17	0.1939662	0.606	-0.3798572	0.347
TCP10L	-0.23791105	0.606	-0.38427784	0.389
RTL10	0.08424145	0.606	0.06114325	0.723
CDKN2AIPNL	0.0934364	0.606	-0.06456574	0.608
CACUL1	0.05096001	0.606	0.11562651	0.379
PASK	0.10028509	0.606	0.10912895	0.615
LINC00852	-0.16754725	0.606	-0.22519688	0.485
LOC105376622	-0.28316697	0.606		
MRPL4	0.09749686	0.606	0.10236774	0.632
TMEM131	0.04048181	0.606	0.02725988	0.776
TMEM41A	0.06407236	0.606	0.09111044	0.619
SVEP1	0.17491252	0.606	0.73155657	0.0895
GOLGA2	0.07549294	0.606	0.04231529	0.838
ARG2	0.07150251	0.606	0.04143311	0.747
TARS3	-0.09452448	0.606	-0.15955404	0.322
ARL13B	0.07794029	0.606	0.13439391	0.386
PRR7	0.21041248	0.606	0.49054153	0.22
LINC01169	0.28793419	0.606	0.16656243	0.832
KANSL1	-0.10971334	0.606	-0.00892618	0.974
DHRS4L2	-0.11092942	0.606	-0.14976864	0.54
LGALS9C	0.51566367	0.607		
CEP63	-0.05718219	0.607	-0.13220677	0.163
CFAP119	-0.11923457	0.607	-0.02805324	0.927
TMEM131L	-0.07789944	0.607	-0.2964527	0.135
TEX2	0.07727131	0.607	0.06600225	0.698
FFAR2	0.29038775	0.607	0.60568607	0.299
CCDC74A	0.25010592	0.607	0.71333395	0.215
ANTXR2	-0.08985656	0.607	0.02485648	0.908
MARCHF6	-0.05056532	0.607	-0.14943116	0.185
POU6F2-AS1	0.41907639	0.607	0.159062	0.886
LOH12CR2	0.20531201	0.607	0.30211196	0.444
LINC00390	-0.17852756	0.607	-0.41761502	0.293
EMC4	0.08807776	0.607	0.09444376	0.609
IGLL5	0.42708267	0.607	0.61652179	0.366
ATP6AP1	0.07520577	0.607	0.19494504	0.302
TARDBPP3	0.13142163	0.607	0.12134192	0.723
TMEM26	0.14549869	0.607	0.28926525	0.219
BUB3	0.04503449	0.607	0.15854487	0.128
MFSD14B	-0.06531003	0.607	-0.06723679	0.681
CNKSR2	-0.25599647	0.607	-0.88812716	0.0661
PAPLN	0.13488721	0.607	0.55036464	0.164
TSHZ1	-0.0492523	0.607	-0.15347522	0.168
ZNF528-AS1	-0.21335027	0.607	-0.21936599	0.562
LINC00161	-0.19423904	0.607	-0.42096325	0.297
SPINT2	0.21915378	0.607	0.74444819	0.0743
CUL4A	0.05797445	0.607	0.02819218	0.745
RPAP2	-0.05535451	0.607	-0.07435051	0.498
LAX1	0.20760924	0.607	0.6177361	0.135
TEX261	0.06744566	0.607	0.14862798	0.198
HFE-AS1	-0.12115479	0.607	0.00992674	0.98
LOC105369780	0.15229155	0.607	0.18883076	0.523
UBAP2	-0.05610429	0.608	-0.10726909	0.352
LOC105369669	-0.12694166	0.608	-0.08335717	0.791
UQCRC1	0.09083587	0.608	0.03323028	0.885
ITGB1-DT	0.1431725	0.608	0.25753529	0.339
NUDC	-0.11397229	0.608	-0.04451613	0.837
ABCC10	0.07904019	0.608	0.20591812	0.136
GNG7	-0.1329112	0.608	-0.25492555	0.36
IL18R1	0.08137751	0.608	0.00043432	0.998
LOC151760	-0.25657552	0.608	-0.39201759	0.458
LOC102723750	-0.13187046	0.608	-0.38305373	0.163
CFLAR-AS1	-0.06232464	0.608	-0.0892667	0.426
LOC101927995	0.59913168	0.608		
CCN2	-0.25715848	0.608	-0.03734642	0.961
LNX2	-0.08858162	0.608	-0.13686153	0.448
CEP250	-0.1136412	0.608	-0.13703435	0.539
LOC105371223	-0.21673803	0.608		
ECH1	0.12536973	0.608	0.04090864	0.915
LOC105374080	-0.16086102	0.608	-0.16651715	0.634
LOC105377452	-0.15798088	0.608	-0.68636618	0.0161
SNHG12	0.09142122	0.608	0.32496128	0.112
RNU1-4	-0.25561594	0.609	-0.17364395	0.758
UBL7	0.08258026	0.609	0.20117448	0.306
LOC105373142	-0.25505762	0.609		
LOC107984932	0.26045784	0.609		
KCTD16	-0.32779626	0.609		
DOK3	0.15744304	0.609	0.40928638	0.326
PSMG4	-0.09317969	0.609	-0.24955573	0.161
TTC26	-0.12684708	0.609	0.23053534	0.532
LOC105375740	-0.09973668	0.609	-0.33876794	0.216
MDM1	-0.07024479	0.609	-0.1109062	0.527
PRC1	0.1847872	0.609	0.55969959	0.0704
POLR1G	0.0739821	0.609	0.24067986	0.17
LOC102724219	-0.21226531	0.609	-0.63343009	0.0379
RRP1B	0.08129248	0.609	0.07605582	0.56
LOC105371642	0.29007818	0.609	-0.27983595	0.601
PDE1A	0.11867776	0.609	0.82178115	0.102
TATDN2	0.08706049	0.609	0.14067831	0.34
SETD2	-0.04281039	0.609	-0.11922794	0.144
XRCC4	0.08820834	0.609	0.23479749	0.313
HYCC1	-0.06402818	0.609	-0.16207839	0.13
ZNF783	0.11265891	0.609	0.06163539	0.766
C9orf78	0.05671678	0.609	0.06762803	0.687
LOC107984311	-0.27897833	0.609		
ZFP91-CNTF	0.05706374	0.609	0.01027927	0.946
HIC1	0.08770867	0.609	0.1437814	0.497
SMG8	0.05570946	0.609	0.07961074	0.575
MIF4GD-DT	0.13476874	0.609	0.18089545	0.575
ZNF555	0.09117633	0.609	0.00971224	0.967
PXMP4	0.10367465	0.609	0.10805458	0.597
LOC105369457	-0.14231794	0.609	-0.43971626	0.0833
SERHL2	-0.1461652	0.609	-0.19462352	0.494
VSIG4	0.2367664	0.609	0.52136826	0.264
PGBD3	-0.07779123	0.609	-0.12917992	0.542
CCDC170	0.29713058	0.609	0.27010896	0.494
LOC105378369	-0.3147957	0.609	-0.33868597	0.566
MUC15	0.29889379	0.609	0.16889404	0.787
ZNF385C	-0.18580685	0.609	-0.27238506	0.477
LOC107985154	0.09606249	0.609	-0.01292857	0.956
SMAD7	0.1015852	0.609	0.07619113	0.764
ZNF773	-0.15297243	0.609	-0.29762935	0.139
LOC112268282	-0.16535115	0.609	-0.38371354	0.23
PRODH	-0.39049821	0.609	-0.37379804	0.65
GNAZ	-0.28948834	0.609	0.48208973	0.51
SCN4A	-0.26479479	0.609	-0.04579317	0.957
LINC00624	-0.33451016	0.609		
TSNAX	0.070937	0.609	0.04045707	0.819
NIF3L1	0.06033434	0.609	0.01174866	0.933
THOC7	0.09031642	0.609	0.17991168	0.353
LOC107986584	-0.28483756	0.609		
LNCRI	-0.17832918	0.609	-0.50954711	0.165
IFT22	0.1043549	0.609	0.22237179	0.307
MADD-AS1	-0.16680258	0.609	-0.32513543	0.145
TRMT5	-0.0466281	0.609	0.06736868	0.59
CCT8	0.05904661	0.61	0.15556409	0.133
TJAP1	0.06509529	0.61	0.05799288	0.768
TEX29	-0.1593099	0.61	-0.2251817	0.521
BMS1P17	-0.40575752	0.61		
USP32P1	0.58289124	0.61	-0.09322548	0.929
CUEDC1	0.14341062	0.61	0.24868795	0.471
SNORD50A	-0.18112817	0.61	-0.17103672	0.653
ZNF738	0.12637976	0.61	0.4768842	0.136
CA5BP1-CA5B	-0.08342417	0.61	0.04851974	0.801
NPC1L1	0.19012976	0.61	0.02661039	0.959
LOC107986368	-0.24544296	0.61	-0.31029321	0.354
PKN3	0.32189247	0.61	1.04323046	0.104
ANKRD20A5P	-0.28763707	0.61	-0.11301861	0.862
MIR23AHG	0.14297172	0.61	0.37323171	0.255
PRR14L	-0.05872468	0.61	-0.05207195	0.499
LOC100507472	-0.11056569	0.61	-0.13989789	0.702
LOC105372791	-0.22965114	0.61	0.08721305	0.902
FHL1	-0.1577409	0.61	-0.15216333	0.633
SLC25A25-AS1	0.1646365	0.61	0.25154468	0.421
IGLV5-45	0.60637948	0.61		
ALG1L1P	-0.2324682	0.61	-0.15557344	0.667
AURKAIP1	0.12348277	0.611	0.08310938	0.778
SSPN	0.41553754	0.611	0.42977349	0.562
LOC102724615	0.20900455	0.611	-0.05517684	0.91
FAM3C	0.10666465	0.611	0.34826569	0.145
LAMC1-AS1	0.20430505	0.611	0.2499869	0.565
LPGAT1	0.11635243	0.611	0.14819416	0.549
NFIC	-0.18579167	0.611	-0.27483685	0.515
IGLC6	0.4543999	0.611	0.6990075	0.35
SPP1	-0.44087811	0.611	1.15747333	0.15
RPL32P3	-0.08979094	0.611	-0.05822244	0.789
SNORA72	0.21649149	0.612	0.3665012	0.328
LOC105375642	-0.22167267	0.612	-0.48550294	0.288
MPPED1	0.27490914	0.612	-0.10108893	0.882
LOC105375127	0.21778213	0.612	0.25357273	0.556
SNORD64	-0.20784138	0.612	-0.29428135	0.418
LOC102724843	-0.2027411	0.612	-0.59959789	0.0412
ANKRD23	-0.09425467	0.612	-0.26641546	0.229
LINC02371	-0.2254954	0.612	-0.06510955	0.91
METTL23	0.07926099	0.612	0.15016332	0.326
GAPVD1	0.04430285	0.612	0.0592299	0.484
AS3MT	-0.15694784	0.612	-0.10547635	0.793
CAPN2	0.15984331	0.612	0.48093776	0.177
LOC101928268	0.23302356	0.612	0.29143766	0.54
HFE	0.08015488	0.613	0.07251554	0.664
ABRA	-0.21634276	0.613	-0.1461995	0.707
LOC114841035	-0.09392719	0.613	-0.10213677	0.676
MORN3	-0.23146144	0.613		
MIR632	0.14168872	0.613	0.30634209	0.237
LOC642846	0.25568488	0.613	-0.0384116	0.942
SPINK5	0.49250097	0.613		
CDKN1C	-0.18592796	0.613	-0.21221613	0.41
KDSR	0.07548407	0.613	0.09554498	0.459
TMPRSS9	0.31310763	0.613	-0.26554376	0.653
ARMH1	-0.20653133	0.613	-0.48585759	0.145
GBP5	0.18782395	0.613	0.58048596	0.124
YIPF6	0.05572686	0.613	0.0755504	0.529
C11orf98	0.14450976	0.613	0.13225341	0.556
RTL5	-0.18069445	0.613	-0.12478526	0.73
SAYSD1	0.08230098	0.613	0.01662636	0.922
JAKMIP2	-0.20394024	0.613	-0.45210754	0.362
OR4F3	-0.22615868	0.613	-0.40737526	0.356
BRPF3	-0.09643642	0.613	-0.10227747	0.63
H2BC18	0.12942722	0.613	0.23574795	0.281
TMEM9B-AS1	-0.16650919	0.613	-0.33242033	0.184
CIT	-0.24129524	0.613	0.27618091	0.621
LOC101928556	-0.11861898	0.613	-0.21476524	0.296
IL1R1	0.07881755	0.613	0.22913904	0.288
RAP1A	0.13407205	0.614	0.25523904	0.349
GTPBP6	-0.085858	0.614	-0.24012516	0.201
ZBP1	0.22209042	0.614	0.6283048	0.146
NBEAL1	-0.05091611	0.614	-0.04877828	0.673
LOC101929230	0.31622963	0.614	0.01846345	0.981
MEI4	-0.38236667	0.614	-1.20589133	0.0658
FAM245A	0.18472052	0.614	0.20760645	0.648
LINC00539	-0.18118334	0.614	-0.08846084	0.864
TXNRD2	-0.09486336	0.614	-0.21650802	0.251
MAP3K10	0.12830238	0.615	0.13916929	0.625
LOC112267871	0.35550156	0.615		
HHIPL2	-0.11395582	0.615	-0.1436392	0.621
LINC01744	-0.35868675	0.615		
SMAD5	0.06455224	0.615	0.06478905	0.697
ARMC1	0.0619755	0.615	0.08707358	0.376
RMRP	0.14086159	0.615	0.39145938	0.223
SIPA1L1-AS1	-0.10988905	0.615	-0.07273384	0.769
SAMSN1	0.18708971	0.615	0.51891452	0.17
MIR513A2	0.37262234	0.615		
FAM133DP	-0.0602371	0.615	-0.02035208	0.899
FAM85A	-0.18141091	0.615	-0.39428409	0.261
SETBP1-DT	-0.23624295	0.615	0.29648661	0.653
ALS2	-0.06230848	0.615	-0.19187142	0.137
DUSP2	0.28511179	0.615	1.09146798	0.0564
CBX3	0.06822678	0.615	0.14676802	0.406
ATP6V0E2	0.13556492	0.615	0.08403501	0.806
GGPS1	0.06440626	0.615	0.16930862	0.153
LINC02536	0.3707949	0.615		
PSMA2	0.10344	0.615	0.09101407	0.668
SSNA1	0.11675861	0.615	0.20138423	0.468
TALDO1	0.07386625	0.615	0.20297407	0.287
TMEM132B	-0.2457531	0.615	-0.35118747	0.59
LOC105369696	-0.18030116	0.615	-0.76102017	0.039
GGTLC3	0.26209833	0.615		
HMGN2	0.08021055	0.616	0.05574109	0.717
PDZRN4	-0.21323084	0.616	-0.25109327	0.684
MAPT	0.21465116	0.616	0.10583432	0.683
RHOT2	-0.06610217	0.616	-0.11544273	0.476
ITGA6-AS1	0.23467071	0.616	0.00386668	0.995
FAM88D	-0.16221183	0.616	-0.10281894	0.805
CXorf66	0.2726506	0.616		
FLNB-AS1	-0.08639494	0.616	-0.13173224	0.382
NDUFB8	0.11953856	0.616	0.10540811	0.678
SLC25A2	-0.23776888	0.616		
OR5AK2	0.28990479	0.616	0.29866502	0.707
LINC02225	-0.32742274	0.616	-0.46905967	0.472
LINC02803	0.15122415	0.616	0.11705143	0.706
CCN4	0.18279385	0.616	0.9716764	0.0968
NUAK2	0.14543232	0.616	0.4265367	0.208
MYOF	0.16860552	0.616	0.94083759	0.0827
RNU1-2	-0.25178797	0.617	-0.15656642	0.787
ZDHHC23	0.11721992	0.617	0.17744723	0.236
NEK9	0.0589769	0.617	0.07465332	0.579
LOC105370622	-0.18399026	0.617	-0.19944176	0.673
PCDHB5	-0.2477638	0.617	-0.45813718	0.41
PEDS1-UBE2V1	0.04802001	0.617	0.05825152	0.558
DLK2	-0.16072438	0.617	-0.1005803	0.819
UPK3B	0.36852581	0.617	-0.1209329	0.824
CCDC137	0.07978743	0.617	0.27226829	0.0874
LCAT	-0.10526917	0.617	-0.25476924	0.477
MSH5-SAPCD1	-0.09396505	0.617	-0.24353522	0.252
NCL	0.05555169	0.617	0.0871565	0.38
CASP2	0.07141691	0.617	0.16718664	0.382
LOC107987098	-0.25075161	0.617	-0.16095562	0.773
CORO1B	0.07296459	0.617	0.13978609	0.492
PHKB	0.06349037	0.617	0.05087298	0.686
CENPK	0.29467564	0.617	0.93935732	0.0788
RMND5B	0.06047946	0.617	0.10960818	0.438
PIPSL	-0.10333453	0.617	-0.02289906	0.939
NR1D1	0.31940648	0.617	0.23487812	0.763
DTD1-AS1	0.23582169	0.617	0.61241985	0.109
LOC105374136	-0.17786358	0.618	-0.35471954	0.273
NIBAN1	0.30439844	0.618	0.44045834	0.443
TMEM178A	-0.11005416	0.618	-0.17807622	0.436
AXL	0.15398093	0.618	0.24495179	0.43
LOC105371651	-0.23011265	0.618		
LOC112268438	0.26967972	0.618		
LCOR	-0.0474343	0.618	0.0161891	0.924
SMC3	-0.05384035	0.618	-0.03751069	0.779
TMEM86A	0.08892823	0.618	0.25841647	0.206
SALL4	-0.29983289	0.618	-1.14543077	0.0331
GUCY2EP	-0.48533347	0.618	-0.23785089	0.78
TOGARAM2	0.25781924	0.618	0.17621182	0.656
LOC107986250	0.2718028	0.618		
CBY3	-0.22648634	0.618		
LOC107986956	0.30530305	0.618		
LINC00092	-0.24116037	0.618	-0.15007178	0.794
BAZ2A	-0.07133442	0.618	-0.13042348	0.381
LOC102725228	-0.12171086	0.618	-0.2024949	0.383
NHERF1	0.07896405	0.618	0.09150836	0.682
LOC105373024	0.19445748	0.618	0.56786716	0.112
LOC102724788	-0.38675288	0.618	-0.36674882	0.668
SPIN2B	-0.07791803	0.618	-0.05169999	0.777
LINC02817	0.28096758	0.618	-0.01570224	0.981
GLB1	0.06096911	0.618	0.1438244	0.284
MIR6529	-0.24597852	0.618	0.18216417	0.727
AGPAT2	0.1833658	0.618	0.2104455	0.562
FAU	0.15448881	0.618	0.27225176	0.271
MAGEH1	0.10485777	0.618	0.18849615	0.415
EFCAB5	-0.2068076	0.618		
POLR1A	0.07825474	0.618	0.16923452	0.261
DKFZP586I1420	-0.0838673	0.618	-0.15286766	0.377
FKBP2	-0.09280585	0.618	-0.10324357	0.672
ACBD6	0.04063683	0.618	-0.0168742	0.878
TRPA1	0.14582798	0.618	0.3360358	0.477
RIDA	-0.11666934	0.618	-0.20656177	0.499
MAEL	-0.33078295	0.618		
NSUN5P1	-0.079581	0.618	-0.14653031	0.408
LOC105376219	-0.35034655	0.618	-0.16673468	0.824
ALG10B	-0.07055433	0.618	-0.16244577	0.28
CORIN	-0.16465368	0.618	0.06181503	0.908
LOC105374689	0.82346909	0.618		
WNK3	-0.1921151	0.619	-0.3915423	0.242
C12orf40	-0.14229525	0.619	-0.08574666	0.772
CFAP157	0.13121929	0.619	0.12519651	0.728
RDH14	0.07140074	0.619	0.10794303	0.44
LOC105374127	-0.24777191	0.619	0.33511646	0.647
SLC35C1	0.22228266	0.619	0.4832843	0.363
BRWD3	-0.05742415	0.619	-0.08167741	0.636
KRBOX1	-0.24775378	0.619	0.01480894	0.979
CAB39	0.05265622	0.62	0.06627068	0.579
ANK1	0.25266582	0.62		
SLC40A1	0.08883234	0.62	0.10731326	0.545
LOC105373821	-0.32511752	0.62		
INPP5D	0.10255162	0.62	0.39383489	0.116
LINC02614	-0.15544921	0.62	-0.39485106	0.161
LOC107986369	-0.20542117	0.62	-0.12030951	0.804
SPINK7	-0.19033469	0.62	-0.4515466	0.25
LINC00240	-0.14907851	0.62	-0.22150309	0.468
MCPH1	-0.04769717	0.62	-0.09153478	0.377
LOC107987043	-0.0959058	0.62	-0.33085809	0.06
CD209	0.22808713	0.62	0.32312035	0.53
TST	0.1120338	0.62	0.10695282	0.751
LOC105373510	-0.12868624	0.62	-0.10977239	0.675
OCLNP1	-0.11983664	0.62	-0.20841871	0.241
SLC26A3	0.38974613	0.62	0.61149862	0.3
ZNF578	-0.13002154	0.62	-0.07697633	0.843
LINC01963	-0.1600027	0.62	-0.1618768	0.701
IL5RA	0.28942345	0.62		
MTRNR2L9	-0.24296172	0.62	0.03689458	0.963
FRMD3-AS1	0.24277343	0.62	0.5850119	0.242
TAF6L	-0.0630865	0.62	-0.17710706	0.377
FITM1	0.34640416	0.62	-0.50093788	0.24
LOC105370781	0.31005702	0.62	1.00537737	0.137
EEF2	-0.07150472	0.62	-0.08714316	0.577
ALMS1P1	-0.16158672	0.62	-0.41024904	0.171
FAM124A	-0.14391451	0.621	-0.07443568	0.817
NDUFAF4P1	-0.13668862	0.621	-0.16991052	0.559
CHST4	-0.34377836	0.621	0.5948223	0.536
BGLAP	0.21768508	0.621		
CPOX	-0.07094574	0.621	-0.22849509	0.293
WDR49	0.29130991	0.621		
SGMS1	-0.05601718	0.621	-0.18767924	0.0831
ZNF366	0.0938673	0.621	0.1477625	0.529
GFAP	-0.22209	0.621		
ZMIZ1-AS1	0.23786457	0.621	0.10332746	0.869
LOC112268056	0.1164757	0.621	-0.09852043	0.759
ATP10A	0.19477708	0.621	0.45067958	0.314
LOC101929372	-0.15554041	0.621	-0.08957769	0.775
ODF3L2	0.29891392	0.621		
LOC107985895	-0.22097704	0.621		
LOC107986358	-0.20319591	0.621	-0.51518817	0.175
HOMEZ	-0.06761715	0.621	-0.08039309	0.607
ANXA2R-OT1	0.12671596	0.621	0.19100995	0.496
LRRC17	0.14292112	0.621	0.15493815	0.737
PATE4	-0.23139741	0.621		
MORF4L1	0.09424822	0.621	0.22246095	0.264
H2BC3	0.21487412	0.621	0.72215978	0.0206
LRCOL1	0.31231246	0.621	0.4212127	0.433
LOC401127	-0.17482903	0.622	-0.11486154	0.779
BAG1	0.10023983	0.622	0.1284732	0.456
GARNL3	-0.11520254	0.622	-0.3075111	0.284
UQCR11	0.1835727	0.622	0.16792341	0.576
LCMT1	0.08702818	0.622	0.23709777	0.144
USP38	0.06230256	0.622	0.08834027	0.448
OTC	-0.0952965	0.622	-0.15458416	0.523
LOC105376957	-0.17734931	0.623	-0.27594625	0.519
SSBP4	0.15415726	0.623	0.1721999	0.431
LOC105378046	0.20145485	0.623	0.29384615	0.46
GTF2A2	0.11161199	0.623	0.20633678	0.238
INTS7	0.07913491	0.623	0.17415824	0.316
TMEM106C	0.1294211	0.623	0.38338994	0.06
KIZ-AS1	-0.1288337	0.623	-0.20371282	0.44
GNB1L	0.12698275	0.623	0.32886479	0.24
RAF1	0.05014435	0.623	-0.06257796	0.624
TOX3	0.17684285	0.623	0.14362206	0.71
E2F2	0.30924126	0.623	0.84652023	0.202
L3MBTL1	-0.09560702	0.623	-0.1571729	0.428
PIGN	-0.05721578	0.623	-0.07613287	0.501
TRY-GTA5-1	0.21841556	0.623	0.62624369	0.166
CNBD2	-0.22531293	0.623		
FAM167B	0.23181365	0.623	0.28525049	0.48
GADD45A	0.1351082	0.623	0.24376371	0.487
LRRC2-AS1	-0.17607601	0.623	-0.70447234	0.113
LOC105374101	-0.12833656	0.623	-0.24560564	0.305
TBC1D1	0.08469256	0.623	0.01824302	0.933
LOC105374651	0.26338793	0.623	-0.27137147	0.706
LINC02734	0.23316683	0.623		
ECSIT	-0.06646293	0.623	-0.25229417	0.138
ZNF280B	0.29484848	0.623		
LIN9	0.09180012	0.623	0.20029912	0.336
VPS29	0.09723828	0.623	0.10952305	0.502
SNORA25	0.15600486	0.623	0.53908653	0.0413
ATP6V1G2-DDX39B	0.03911742	0.623	0.07359768	0.439
SERPING1	-0.09738495	0.623	-0.18927485	0.294
FCGR3B	0.18802251	0.623	0.72450539	0.117
FBN2	0.29589416	0.623	0.62891738	0.289
CRIP3	0.07122007	0.623	-0.11096703	0.687
MIR3609	-0.15729102	0.623	0.06585192	0.882
PPP1R12A-AS1	-0.14781303	0.623	-0.15468254	0.626
ARHGAP11A-DT	-0.12358847	0.623	-0.17596775	0.472
LOC105373064	0.16570512	0.623	0.29444293	0.276
MED14OS	0.19855734	0.623	0.16188637	0.705
PCDH19	0.27776126	0.623	0.53692725	0.518
ATP9B	-0.05667349	0.623	-0.08628834	0.278
SNRPE	0.13925941	0.623	0.24635171	0.263
LOC107984116	-0.24710346	0.623	-0.5023053	0.276
MED30	0.08161729	0.623	0.09860305	0.567
ZSCAN29	0.06025541	0.623	0.08504645	0.372
UGCG	0.1104802	0.623	0.28950403	0.206
ZMYM1	-0.050252	0.623	-0.10597289	0.489
COX7A1	0.24414526	0.624	0.66058995	0.174
LOC107987299	0.13443708	0.624	0.12475091	0.741
NEDD8	0.10236787	0.624	0.18414962	0.362
ESRRG	0.47262171	0.624	0.2512457	0.74
HK3	0.14590667	0.624	0.17358106	0.573
SKA1	0.36394342	0.624		
ANKRD53	0.07679623	0.624	0.1256577	0.429
MMP25-AS1	0.19782411	0.624	0.1531309	0.764
