Symbol	NAS 1	NAFLD_Stage_1_pvalue	NAS 2	NAFLD_Stage_2_pvalue	NAS 3	NAFLD_Stage_3_pvalue	NAS 4	NAFLD_Stage_4_pvalue	NAS 5	NAFLD_Stage_5_pvalue	NAS 6	NAFLD_Stage_6_pvalue
UBR1	0.0532385	0.823	-0.0135253	0.945	0.075859	0.581	0.00786297	0.965	-0.0005388	0.997	-0.0009081	0.997
PRPF19	-0.1599031	0.823	-0.2783714	0.179	-0.1444455	0.475	-0.0789038	0.825	-0.1965419	0.328	0.0811493	0.769
UBE3B	-0.06751	0.823	-0.0656939	0.708	-0.045489	0.816	-0.07589311	0.566	-0.1256024	0.386	-0.1087923	0.446
UCHL3	0.0993167	0.823	0.1928095	0.168	0.104679	0.525	0.17068532	0.454	0.3468246	0.0497	0.3333205	0.139
FBXO32	-0.1712446	0.823	0.0069182	0.989	-0.0897813	0.803	-0.09879285	0.844	-0.2226092	0.463	-0.169362	0.745
TMEM69	-0.0910358	0.823	-0.0856148	0.629	-0.0897498	0.605	-0.12466542	0.526	-0.0701671	0.584	0.0224259	0.949
DCLRE1B	-0.1398944	0.823	0.1594773	0.675	0.07973	0.781	0.20505125	0.375	0.189188	0.443	0.3532515	0.351
MCM6	0.3225469	0.823	-0.154399	0.829	0.0496798	0.951	0.12380093	0.858	0.4479656	0.295	0.7649225	0.193
LOC105373716	0.1583203	0.823	0.3175428	0.339	0.1579609	0.588	0.15331088	0.562	-0.0126716	0.974	-0.0034497	0.997
EFHB	-0.2178569	0.823	-0.1391437	0.827	-0.0800379	0.888	-0.19096242	0.638	-0.0295163	0.944	-0.0767624	0.905
KLKB1	-0.0881292	0.823	-0.2197356	0.229	-0.2476963	0.353	-0.31396134	0.0323	-0.307467	0.035	-0.4438715	0.397
MED20	0.086923	0.823	0.0827024	0.716	0.1007319	0.564	0.117422	0.462	0.1267127	0.457	0.0915476	0.687
FAM180A	-0.1360136	0.823	-0.2020629	0.431	-0.226256	0.348	-0.10954735	0.716	-0.1517288	0.663	-0.2536482	0.253
NKAIN3-IT1	0.2947124	0.823	-0.137676	0.849	-0.4993288	0.434	-0.8472674	0.109	-0.9406818	0.0444	-1.4107476	0.0475
THEM6	0.1205436	0.823	0.026636	0.938	0.1061583	0.796	0.28749855	0.418	0.1283373	0.612	0.0109973	0.987
FXYD2	0.6284055	0.823	0.6085151	0.629	0.4266225	0.67	0.49830369	0.604	1.0492454	0.271	0.8604378	0.421
CDADC1	-0.1231253	0.823	0.0463951	0.894	-0.0973967	0.706	-0.19998291	0.304	-0.0756464	0.672	-0.1908684	0.59
HSPA2-AS1	0.1949122	0.823	0.3084629	0.352	0.1548304	0.669	0.13659273	0.691	0.1556439	0.604	0.2846937	0.493
LINC02290	0.3188057	0.823	0.1743063	0.798	-0.096838	0.874	-0.01951728	0.981	-0.3762348	0.447	-0.3032885	0.636
ATG2B	-0.0549354	0.823	-0.0862913	0.403	-0.1003952	0.528	-0.12255042	0.372	-0.2885484	0.0322	-0.313379	0.0167
LOC107987224	-0.2238091	0.823	0.1982976	0.753	0.1642341	0.792	0.02454756	0.975	-0.1015102	0.862	-0.7049772	0.34
LOC91450	-0.2667031	0.823	-0.5957833	0.332	-0.496873	0.388	-0.46506828	0.439	-0.7864027	0.0914	-0.9409876	0.127
ISYNA1	0.1566622	0.823	0.3684893	0.299	0.2172078	0.573	0.33626117	0.285	0.2416955	0.405	0.4261657	0.471
SPINT2	0.3303306	0.823	0.2309295	0.653	0.3462059	0.659	0.28764837	0.59	0.7677698	0.0689	0.8844811	0.114
MCHR1	-0.3203236	0.823	-0.2153116	0.789	0.0667612	0.928	0.01898224	0.981	0.1894264	0.735	0.1416546	0.862
ARAF	0.0802439	0.823	0.0990133	0.654	0.1984047	0.293	0.11289678	0.642	0.0758683	0.666	0.0050234	0.991
EIF6	0.0950242	0.823	0.101274	0.643	0.1613043	0.489	0.2064792	0.446	0.2684049	0.217	0.2980165	0.332
MDP1	-0.1738727	0.823	-0.0740399	0.897	-0.1875083	0.481	-0.22548254	0.434	0.070031	0.898	-0.0555083	0.893
CDC37L1-DT	-0.288595	0.823	-0.3200932	0.576	-0.2530026	0.616	-0.37778195	0.438	-0.1599577	0.798	-0.4080352	0.485
SLAMF8	0.3430785	0.823	0.5495511	0.448	0.778761	0.223	0.69064958	0.25	1.0951524	0.0406	1.8171548	0.0158
ARIH2OS	-0.2154831	0.823	-0.2319432	0.647	-0.0891656	0.847	-0.00993945	0.985	-0.1411358	0.672	-0.1903283	0.666
LOC100996437	-0.2006835	0.823	-0.2478189	0.632	-0.2785408	0.461	-0.21744066	0.57	-0.7111909	0.0154	-0.8619992	0.0637
DACH1	-0.1716861	0.823	-0.4390299	0.138	-0.4533291	0.143	-0.26020572	0.478	-0.3282293	0.21	-0.3143211	0.365
ABHD3	0.0786323	0.823	-0.0239838	0.932	0.0106081	0.975	-0.05506057	0.881	0.0552666	0.794	0.1968281	0.533
GPCPD1	0.1222982	0.823	0.0628543	0.782	0.026876	0.918	-0.00895408	0.974	0.1434061	0.386	0.1891966	0.659
NOC2L	0.097602	0.823	0.0596368	0.769	0.0709055	0.734	0.06599161	0.839	-0.0079384	0.977	-0.06268	0.799
H6PD	0.1540866	0.823	-0.2047143	0.106	-0.0465564	0.892	-0.07207497	0.827	-0.332931	0.103	-0.1275719	0.492
OLFML2B	0.3756856	0.823	0.7195685	0.431	0.8364583	0.284	0.64648327	0.464	0.7017173	0.143	0.428535	0.48
LOC107985939	-0.1234099	0.823	-0.0421078	0.916	-0.1241202	0.748	-0.29018982	0.412	-0.4249675	0.119	-0.6373557	0.12
KCNH7	-0.1859145	0.823	-0.1910304	0.692	-0.367395	0.423	-0.15633635	0.655	-0.218088	0.444	-0.5196227	0.424
SLC26A6	0.1343066	0.823	0.2269166	0.574	0.2104087	0.555	0.45010478	0.213	0.2449251	0.528	0.3500992	0.334
CC2D2A	-0.1542684	0.823	0.0334409	0.922	0.1376533	0.573	-0.05941228	0.836	-0.0502661	0.878	-0.1906934	0.532
SERF1B	0.18142	0.823	0.3787283	0.484	0.3034945	0.54	0.40946349	0.244	0.6548169	0.0332	0.7592741	0.135
MALINC1	-0.1929379	0.823	-0.3906645	0.147	-0.3730876	0.132	-0.42140386	0.117	-0.3897406	0.152	-0.5263098	0.137
ADAMTS2	0.1773972	0.823	0.1001541	0.732	0.1145197	0.835	0.35691662	0.282	0.3557981	0.243	0.4597389	0.139
GUSBP2	0.1606651	0.823	0.0088809	0.983	0.0569666	0.883	-0.02656508	0.953	-0.0426882	0.904	-0.2470736	0.477
LINC02542	0.2724107	0.823	0.0146893	0.99	-0.1032297	0.898	0.36336875	0.561	0.1345783	0.832	0.3640217	0.527
MRM2	0.0851641	0.823	0.0514185	0.849	0.2518011	0.0393	0.18527215	0.345	0.2622704	0.0729	0.188373	0.474
ARHGEF35-AS1	0.2435255	0.823	-0.2188116	0.714	-0.1926831	0.687	-0.07252332	0.924	-0.0254449	0.964	0.00713	0.994
LOC105379326	0.342544	0.823	0.1119445	0.885	0.1024813	0.851	0.06141552	0.933	-0.0294743	0.953	-0.1128336	0.891
UBXN8	0.0816621	0.823	0.0769039	0.766	0.092277	0.776	0.04059577	0.901	0.236144	0.319	0.2418579	0.395
SLC36A4	0.1102668	0.823	0.0915512	0.832	0.0894663	0.731	0.13882912	0.529	0.1994178	0.164	0.3178973	0.159
NKAPD1	-0.0854831	0.823	-0.0364327	0.844	-0.0614773	0.645	-0.0915212	0.639	-0.0778538	0.505	-0.084805	0.536
RPUSD4	0.0875933	0.823	0.370197	0.297	0.3316734	0.256	0.15480298	0.368	0.0432596	0.81	0.036457	0.88
MTERF2	0.0790124	0.823	0.0401528	0.892	-0.0418535	0.818	0.06888952	0.756	0.0785267	0.614	0.1709422	0.387
ACYP1	0.1818494	0.823	0.3149849	0.441	0.1270439	0.748	0.23510187	0.528	0.3326844	0.215	0.5257065	0.133
FAM98B	-0.1678333	0.823	-0.2558041	0.468	-0.2781312	0.372	-0.15592165	0.744	0.0530187	0.913	0.3749994	0.455
DISP2	-0.2123771	0.823	-0.2473716	0.624	-0.3710692	0.356	-0.24655446	0.633	-0.4451957	0.306	-0.1108788	0.834
SERPINF2	-0.1263998	0.823	-0.2021454	0.329	-0.1559009	0.558	-0.26636613	0.26	-0.4360751	0.000143	-0.4982533	0.198
USP32P1	-0.7913937	0.823	0.5846815	0.822	-0.0400322	0.987	0.2052641	0.896	-0.0574661	0.974	-0.3087277	0.885
CNTNAP1	0.2087864	0.823	0.2372905	0.614	0.1039035	0.857	0.1950762	0.642	-0.0208866	0.958	0.2101128	0.675
LOC112267872	-0.1276647	0.823	0.0680726	0.826	0.0595732	0.783	0.00678023	0.982	-0.0662004	0.788	-0.1515122	0.67
SLC25A18	0.1985979	0.823	-0.3644257	0.404	-0.1384989	0.765	-0.18228413	0.498	-0.1693257	0.618	-0.1469683	0.806
NDUFA6-DT	-0.3192515	0.823	0.0009005	0.999	0.1807569	0.795	0.10044595	0.878	-0.1332148	0.806	-0.8168673	0.258
ATXN10	-0.0660008	0.823	-0.121876	0.257	0.0083091	0.961	0.04156106	0.859	0.0970335	0.592	0.1818698	0.425
H4C9	0.4425647	0.823	-0.1476508	0.875	0.1046373	0.894	0.02766798	0.98	0.5951299	0.262	0.7589363	0.13
LOC107984561	-0.2276358	0.823	-0.0829556	0.886	-0.2898559	0.484	-0.16042697	0.727	-0.3416043	0.319	-0.278978	0.622
PRDX2	0.0702122	0.823	0.0581476	0.824	0.144182	0.489	0.07917245	0.751	0.2119853	0.334	0.1245547	0.774
CRYZL1	-0.0832688	0.823	-0.0953148	0.681	-0.0905638	0.464	-0.18186846	0.225	-0.1477015	0.266	-0.095232	0.615
FAM86HP	-0.2935106	0.824	-0.5592317	0.352	-0.337986	0.429	-0.33888604	0.487	-0.3962084	0.391	-0.4797657	0.325
ANKRD31	-0.2596201	0.824	-0.1663186	0.817	-0.5253707	0.29	-0.37838836	0.447	-0.3825926	0.31	-0.5074884	0.251
LPAR1	0.331385	0.824	0.2528773	0.727	0.1649502	0.815	0.17002843	0.805	0.3085038	0.559	0.5294177	0.536
ZNF891	-0.1422895	0.824	0.1185226	0.679	-0.0941697	0.712	-0.1334373	0.669	-0.0331771	0.871	-0.1315475	0.593
HDAC5	-0.1082252	0.824	0.0964019	0.699	0.0334137	0.936	-0.05307544	0.877	-0.198386	0.325	-0.2389746	0.299
LOC107986744	-0.2600744	0.824	-0.4428937	0.56	-0.3847275	0.426	-0.63156745	0.148	-0.3715163	0.597	-0.9963767	0.0943
CARNMT1	-0.0689798	0.824	-0.0033368	0.993	-0.036967	0.893	-0.04512804	0.896	0.0792029	0.62	-0.0515352	0.862
CROCCP2	-0.1541066	0.824	-0.350901	0.147	-0.0490632	0.933	-0.3571777	0.192	-0.4937213	0.124	-0.8263294	0.0261
TMEM41A	-0.0937388	0.824	0.0945047	0.632	-0.0005243	0.998	-0.01474321	0.953	0.0962487	0.529	0.1660079	0.627
LOC105375087	-0.3222572	0.824	-0.2496045	0.747	-0.1928788	0.807	-0.59465618	0.144	-0.5014965	0.336	-0.3382571	0.734
NPY6R	-0.601613	0.824	1.1645947	0.479	1.0246736	0.458	-0.06462406	0.97	0.6644246	0.554	-1.2624931	0.195
C9	0.1938816	0.825	-0.3696347	0.284	-0.0836113	0.869	-0.37075202	0.507	-0.3185181	0.401	-0.4485443	0.36
ATP13A2	0.1524413	0.825	0.2088396	0.673	0.1869572	0.588	0.13674403	0.732	0.2153663	0.373	0.1828659	0.713
LOC105373455	-0.141227	0.825	-0.3002401	0.301	-0.2830324	0.16	-0.28859144	0.202	-0.4666879	0.0249	-0.5685881	0.196
BLTP1	-0.073269	0.825	0.0306018	0.873	-0.0740933	0.523	-0.09101649	0.608	-0.0679134	0.754	-0.1024994	0.595
RFX3-DT	-0.2628468	0.825	-0.2863057	0.756	-0.5325912	0.259	-0.44401767	0.269	-0.5769985	0.161	-0.5873455	0.297
GPR179	-0.3303534	0.825	-0.7721758	0.0853	-0.6382137	0.153	-0.60509301	0.2	-0.776308	0.0383	-0.7185646	0.159
RFNG	-0.1049458	0.825	-0.0115779	0.974	-0.0451649	0.919	-0.13542876	0.757	-0.0974029	0.757	-0.1223518	0.799
EED	0.0729038	0.825	0.0826227	0.62	0.1563346	0.192	0.12880122	0.379	0.1359282	0.421	-0.0006461	0.998
LOC105372118	0.1731626	0.825	0.1879635	0.687	-0.0389025	0.944	0.04243533	0.933	-0.0934153	0.757	0.0219291	0.968
DIDO1	-0.0552922	0.825	-0.1408988	0.309	-0.1077953	0.218	-0.11734739	0.394	-0.2331756	0.117	-0.2629556	0.168
JPX	-0.0974515	0.825	-0.1914153	0.571	-0.1590082	0.52	-0.19618623	0.339	-0.2201158	0.198	-0.2406776	0.246
PPARD	-0.1621468	0.825	-0.0772317	0.846	0.0071972	0.986	0.21229749	0.513	0.0217235	0.949	0.4318499	0.306
KIAA0408	0.4260868	0.825	0.2143251	0.822	0.2547931	0.771	-0.01389271	0.988	0.356218	0.552	0.3116689	0.634
USH1C	0.7892537	0.825	-0.1841523	0.925	-0.1377581	0.931	-0.27350195	0.833	-0.3367338	0.802	-0.3824742	0.807
GRSF1	-0.0666558	0.825	0.0175212	0.962	0.0123258	0.967	-0.06676646	0.72	-0.0271813	0.794	-0.0193305	0.929
SP3	0.1052278	0.826	0.039232	0.832	-0.0160458	0.945	0.0525604	0.85	-0.0141631	0.927	0.0756144	0.715
KBTBD4	0.0918878	0.826	0.1464657	0.519	0.2324729	0.128	0.15004163	0.458	0.2163961	0.1	0.0939765	0.752
DNMT3A	0.0996369	0.826	0.2807907	0.204	0.0939492	0.753	0.1110895	0.687	-0.0370779	0.86	0.2210767	0.549
DRAM2	-0.1745252	0.826	-0.0142238	0.976	-0.0145936	0.975	0.11992355	0.722	0.2424126	0.302	0.4503264	0.201
CSRP1-AS1	-0.1450547	0.826	-0.1910781	0.542	-0.0340925	0.935	-0.0415151	0.921	-0.1962528	0.402	-0.111945	0.829
AOX3P-AOX2P	-0.3928995	0.826	-0.8127293	0.525	-1.0413013	0.156	-1.0170577	0.0282	-0.9868411	0.0304	-0.6466915	0.471
TTC14	-0.0959843	0.826	-0.1570236	0.561	-0.230949	0.145	-0.2724939	0.12	-0.1736633	0.321	-0.1811907	0.443
MARCHF6	-0.0883277	0.826	-0.0346553	0.9	-0.0740796	0.644	-0.09503813	0.505	-0.0769918	0.592	-0.1074283	0.566
LYRM2	0.0877469	0.826	0.0902226	0.621	0.1135779	0.414	0.14558743	0.408	0.1795144	0.159	0.2014111	0.16
ARG1	-0.10913	0.826	-0.2410179	0.415	-0.1587455	0.665	-0.08364063	0.823	-0.0588181	0.799	-0.1832545	0.709
MMP16	-0.3171461	0.826	0.1191309	0.895	-0.1483643	0.835	0.07793837	0.936	-0.0470471	0.944	0.4856864	0.603
SNAPC3	-0.0464417	0.826	-0.0875051	0.472	-0.083012	0.571	-0.09156192	0.593	0.0264078	0.747	0.0256054	0.888
CYP2R1	-0.0689615	0.826	-0.0698462	0.73	-0.0622144	0.753	-0.02289679	0.909	-0.1170842	0.324	-0.0487984	0.721
NPIPB15	-0.2905619	0.826	-0.5717519	0.27	-0.4522078	0.555	-0.5155334	0.451	-0.6932415	0.221	-0.6532243	0.47
LOC105369246	0.3572791	0.826	0.0140906	0.99	0.1085644	0.898	0.17436508	0.869	-0.1382254	0.824	-0.8907641	0.208
CLEC4M	-0.2373573	0.826	0.0459307	0.951	0.006418	0.994	-0.18035752	0.781	-0.3014911	0.474	-0.6479009	0.589
UBE2V1	-0.0733735	0.826	-0.0767591	0.609	-0.0679751	0.529	-0.03627295	0.843	-0.0426125	0.774	0.0318626	0.879
LOC105372697	-0.3545672	0.826	-1.2728085	0.256	-0.9457151	0.273	-0.52520883	0.59	-1.0283834	0.207	-0.7257965	0.512
TNRC6B	-0.05788	0.826	-0.1095763	0.302	-0.126039	0.119	-0.08281761	0.51	-0.2320254	0.0483	-0.2241782	0.308
LOC389831	0.2182462	0.826	-0.0010347	0.999	0.1099215	0.867	0.2104373	0.712	0.0754873	0.886	-0.346545	0.54
NOTCH2NLR	-0.183054	0.826	-0.1288887	0.77	-0.0453731	0.909	-0.06733739	0.885	-0.2150176	0.382	-0.4127845	0.129
IGKV1-33	-0.4498146	0.826	1.3615893	0.184	0.6293416	0.57	0.78302523	0.38	1.1421065	0.189	1.2740188	0.145
CPOX	0.0978006	0.826	-0.0383375	0.902	-0.0281883	0.906	-0.06925094	0.783	-0.0764023	0.681	-0.1244833	0.795
REEP5	0.0811293	0.826	0.1475205	0.451	0.1373756	0.379	0.24312413	0.213	0.2916954	0.0849	0.374136	0.0474
MIOS	-0.0662411	0.826	-0.0394867	0.861	-0.0590985	0.761	-0.177168	0.303	-0.1273852	0.376	-0.2311465	0.232
C8orf58	-0.2178873	0.826	-0.0105835	0.988	-0.0699845	0.87	0.01026603	0.987	-0.1027897	0.773	0.1481985	0.82
EEF1AKMT3	0.1446935	0.826	0.0610806	0.883	0.1558085	0.481	0.19505027	0.355	0.2373947	0.311	0.3129158	0.473
GPC5	0.3491841	0.826	0.0433752	0.976	0.2406428	0.744	0.407902	0.631	0.1507772	0.852	-0.3118714	0.806
CHD9	-0.0843209	0.826	-0.1996462	0.0814	-0.1689143	0.297	-0.13943817	0.393	-0.1521908	0.22	-0.1272181	0.544
NUDT7	0.1370356	0.826	0.1414275	0.661	-0.0548145	0.862	-0.12242475	0.714	0.0958426	0.788	-0.0167853	0.973
UBBP4	0.1409351	0.826	0.0898193	0.753	0.1155215	0.78	0.14191855	0.822	0.164835	0.606	-0.1269907	0.715
SLC27A1	0.1090945	0.826	0.0689917	0.826	0.0591999	0.873	0.08648655	0.815	-0.1075108	0.663	0.1153616	0.667
RUBCN	-0.0919289	0.826	0.100477	0.657	0.0243181	0.917	0.07573432	0.772	0.0033964	0.988	0.091448	0.705
SNORA11F	-0.2212353	0.826	-0.517051	0.183	-0.6080418	0.154	-0.90592427	0.00742	-0.8372005	0.00361	-0.8437264	0.0181
PER3	-0.100721	0.826	-0.4317266	0.419	-0.35615	0.267	-0.55637486	0.074	-0.3566203	0.329	-0.5780041	0.437
C1orf56	0.1283135	0.826	-0.0198299	0.956	-0.0616415	0.824	-0.02410951	0.936	0.0652679	0.81	0.2250578	0.631
RPL23AP32	0.2135636	0.826	0.2571823	0.659	0.289881	0.485	0.29701338	0.59	0.3125205	0.438	0.0937524	0.888
RPIA	-0.1761409	0.826	-0.0591357	0.91	0.0363469	0.939	-0.11242055	0.766	0.0526392	0.874	0.2454191	0.582
C2orf92	-0.1476694	0.826	-0.0330707	0.938	0.01377	0.974	-0.04805849	0.907	-0.2206065	0.325	-0.4052003	0.152
LINC01106	-0.2921598	0.826	0.1868156	0.728	0.0291978	0.965	0.32194149	0.468	0.0060975	0.99	0.2534169	0.711
FMNL2	0.0832541	0.826	0.1497416	0.217	0.1250433	0.623	0.14431471	0.684	0.3502092	0.0301	0.4580951	0.314
NEU4	-0.2284619	0.826	-0.3756987	0.404	-0.4454941	0.278	-0.61084492	0.114	-0.419176	0.349	-0.7167051	0.345
SLC12A8	0.3372515	0.826	0.7973151	0.281	0.6891495	0.27	0.72349744	0.295	0.762621	0.102	0.5778689	0.356
PLSCR2	-0.2644504	0.826	-0.4598704	0.367	-0.2582984	0.716	-0.0858312	0.888	-0.2762379	0.59	-0.1845966	0.803
MINDY4B	-0.4688236	0.826	-0.1467549	0.918	-0.6974275	0.414	-1.04470463	0.0987	-0.6305407	0.34	-0.7558934	0.563
DGKG	-0.258329	0.826	-0.1320964	0.833	-0.4048781	0.348	-0.32863478	0.548	-0.3044591	0.387	-0.5479113	0.244
OSMR	0.2729107	0.826	-0.0998351	0.842	0.0064772	0.99	0.24937852	0.504	0.2921752	0.442	0.8936047	0.0956
DAB2	0.1035981	0.826	0.292124	0.135	0.1409812	0.555	0.21474415	0.337	0.374612	0.0371	0.5867677	0.198
CCNB1	0.2690086	0.826	0.4241173	0.47	0.5645875	0.352	0.51700176	0.29	1.0859978	0.0176	1.3706854	0.0198
ANKRA2	-0.0813231	0.826	-0.0936526	0.707	-0.0838468	0.617	-0.06578128	0.833	-0.0805602	0.732	-0.0008376	0.998
LOC105375097	-0.3300322	0.826	-0.563911	0.746	0.0572737	0.977	-0.08753432	0.959	0.3604861	0.606	-0.1977729	0.874
PERP	0.171062	0.826	-0.1298281	0.717	0.0589266	0.891	0.10148021	0.786	0.196479	0.516	0.3892687	0.251
AHR	-0.1652314	0.826	-0.2819127	0.403	-0.3989247	0.137	-0.37385469	0.256	-0.3230162	0.195	-0.2152356	0.553
COA1	-0.0731967	0.826	-0.0167752	0.912	-0.0793371	0.537	-0.06042145	0.701	-0.0837146	0.319	-0.0767194	0.666
LOC112268006	0.1371717	0.826	0.0360116	0.938	0.0748743	0.796	0.22152431	0.392	0.1284556	0.569	0.2334148	0.463
DTX2P1-UPK3BP1-PMS2P11	-0.1306952	0.826	-0.1635315	0.507	-0.2626758	0.217	-0.11964251	0.617	-0.271944	0.0538	-0.2803897	0.323
BMT2	0.1433347	0.826	0.1719476	0.438	0.2607636	0.266	0.24976706	0.302	0.3367236	0.0279	0.3512532	0.172
ACTR3B	0.1110995	0.826	0.0870013	0.766	0.0661994	0.77	0.00841364	0.98	-0.1080872	0.658	0.0055697	0.989
LOC112268052	-0.2005566	0.826	-0.4043443	0.277	-0.4398081	0.0925	-0.27339838	0.482	-0.3291396	0.322	-0.2487888	0.6
PTBP3	0.0993804	0.826	0.0708222	0.733	0.0016507	0.995	0.14574526	0.564	0.1539466	0.167	0.3424241	0.19
CFAP157	0.229409	0.826	0.3733567	0.411	0.1841631	0.694	0.42516371	0.345	0.4397204	0.161	0.3564916	0.394
BIRC2	-0.059036	0.826	-0.0449996	0.801	-0.0909943	0.448	-0.0551305	0.79	-0.0202297	0.858	-0.0238047	0.874
FOXM1	-0.1978967	0.826	-0.3262999	0.502	-0.2508033	0.425	-0.25288414	0.516	-0.341701	0.376	-0.0562388	0.936
PFDN5	-0.083427	0.826	-0.0852748	0.735	-0.028206	0.912	-0.18988165	0.228	0.1160592	0.768	0.0728149	0.884
MAP3K12	-0.1728277	0.826	-0.3225622	0.24	-0.3058537	0.3	-0.26776159	0.387	-0.2493581	0.406	0.0526013	0.895
MYO1H	0.2792514	0.826	-0.0196966	0.983	0.0853602	0.889	0.08031315	0.901	-0.0705306	0.895	0.0265774	0.973
ALG5	0.0778583	0.826	-0.0070096	0.981	0.0565917	0.874	0.08544321	0.749	0.2581015	0.207	0.1885436	0.57
LOC101927756	-0.2753397	0.826	-0.123475	0.849	-0.0598551	0.915	-0.07929323	0.914	-0.0224918	0.964	0.3982581	0.542
LOC105370622	0.3842419	0.826	0.0954469	0.891	0.1509973	0.787	0.19627973	0.727	0.2583711	0.603	-0.1171683	0.895
KNL1	-0.1503234	0.826	-0.1274739	0.77	-0.1382858	0.742	-0.13483919	0.746	0.1390331	0.673	0.1421203	0.568
RPAP1	-0.1423544	0.826	-0.0333007	0.929	-0.0222968	0.951	-0.01289029	0.974	-0.1552446	0.449	-0.0256859	0.941
FAM219B	0.1223408	0.826	0.0655617	0.794	0.1673977	0.308	0.16366962	0.303	0.0835716	0.529	0.1379109	0.472
MRPL28	0.1112317	0.826	0.0961625	0.727	0.1899434	0.406	0.12277301	0.64	0.2424604	0.363	0.1694694	0.666
ZNF688	-0.1058143	0.826	-0.0870797	0.791	-0.2047263	0.287	-0.23430129	0.39	-0.0744988	0.884	-0.0903828	0.862
LOC102724262	-0.2155664	0.826	-0.3047677	0.418	-0.4036558	0.204	-0.32206862	0.331	-0.5536607	0.0369	-0.6483241	0.0864
COL1A1	0.2632447	0.826	0.4312863	0.489	0.6345745	0.453	0.91163979	0.0425	1.0768083	0.0399	1.4015117	0.0199
LOC105372165	-0.2454949	0.826	-0.2483819	0.626	-0.4509153	0.365	-0.19097659	0.684	-0.2195467	0.658	-0.1437823	0.787
MEX3D	0.1889442	0.826	0.0552652	0.923	0.0050873	0.992	0.20211444	0.663	0.3156285	0.441	0.3772218	0.416
MAST3	-0.1663662	0.826	-0.1174211	0.773	-0.0868994	0.813	-0.02352904	0.964	-0.1920794	0.448	-0.077892	0.877
MAU2	0.0811628	0.826	0.1275207	0.386	0.0697296	0.78	0.07002458	0.753	-0.094729	0.49	-0.1268865	0.627
SPTBN4	-0.3868317	0.826	-0.615935	0.485	-0.5199433	0.547	-0.87173796	0.144	-0.918065	0.05	-1.3226162	0.0499
ZNF230	-0.1227964	0.826	-0.0336011	0.927	-0.0416568	0.89	-0.05089375	0.871	0.0880336	0.688	-0.1300898	0.578
ZNF841	-0.0913481	0.826	-0.181504	0.472	-0.2371555	0.292	-0.21743571	0.355	-0.1382269	0.445	-0.0916163	0.777
ASXL1	-0.0863939	0.826	-0.1613113	0.189	-0.1570941	0.209	-0.15611557	0.256	-0.3422943	0.000503	-0.2569342	0.11
LPIN3	-0.1314409	0.826	-0.2478397	0.327	-0.170101	0.576	-0.31583545	0.229	-0.3909052	0.17	-0.7095021	0.0775
PRICKLE3	0.1806716	0.826	0.4268373	0.21	0.2600953	0.386	0.38088053	0.195	0.2632647	0.343	0.5375037	0.253
GK3	-0.1247351	0.826	-0.2974842	0.306	-0.2667303	0.217	-0.22024408	0.373	-0.240209	0.255	-0.3596879	0.319
FAM149A	-0.0740297	0.826	-0.1467364	0.489	-0.0735627	0.795	-0.14440775	0.364	-0.1486181	0.282	-0.2006167	0.604
MOSPD3	-0.1414642	0.826	-0.2185609	0.34	-0.1537246	0.651	-0.15238698	0.547	-0.1293786	0.704	-0.146968	0.779
GPR18	0.0926537	0.826	0.154534	0.393	0.02389	0.9	0.02992275	0.906	-0.0250047	0.909	-0.1535484	0.72
VPS35L	0.0641509	0.826	0.0769978	0.604	0.1247094	0.223	0.10591897	0.406	0.0884927	0.31	0.1374296	0.529
ADAM21	-0.2638373	0.826	0.2022289	0.685	0.0134425	0.981	0.06771928	0.896	-0.0404052	0.933	0.00993	0.991
LOC105374773	0.1197735	0.827	0.1181614	0.656	0.0578141	0.831	0.04713022	0.884	-0.0576968	0.845	-0.130491	0.744
CD96	0.2038891	0.827	0.5961197	0.294	0.3422679	0.401	0.44433708	0.309	0.6161153	0.0254	0.8079406	0.11
LAMTOR4	0.0917536	0.827	0.0796592	0.822	0.1592126	0.322	0.13279087	0.644	0.3076294	0.357	0.3143779	0.376
NAALADL1	0.2696366	0.827	0.1451046	0.848	0.1284295	0.836	0.29505586	0.577	0.403497	0.363	0.5741698	0.276
ITGA3	0.475682	0.827	0.0199475	0.989	0.2545998	0.791	0.12233432	0.878	0.0620969	0.934	1.0044485	0.359
LOC107985917	-0.1634337	0.827	-0.2924462	0.233	-0.2992551	0.196	-0.24720417	0.348	-0.3108043	0.064	-0.3714431	0.231
ZNF131	-0.091979	0.827	-0.1518863	0.352	-0.092803	0.679	-0.08578942	0.673	-0.0592383	0.69	0.0391005	0.859
LINC01847	-0.203188	0.827	-0.4488489	0.227	-0.519408	0.196	-0.66275317	0.0278	-0.7135714	0.0442	-1.2143895	0.00046
SPDYE3	-0.1242878	0.827	-0.2225148	0.534	-0.2564621	0.363	-0.21525028	0.422	-0.2361133	0.226	-0.2183792	0.584
BRD3	0.1405626	0.827	0.1473375	0.543	0.1940172	0.411	0.1991204	0.355	0.1329204	0.524	0.2404624	0.424
NODAL	-0.2111172	0.827	-0.6243497	0.119	-0.4687607	0.181	-0.57705052	0.0702	-0.7776806	0.0138	-0.9965505	0.0156
C12orf57	0.0900795	0.827	-0.1172269	0.707	0.0527989	0.914	0.00284496	0.995	0.1424969	0.792	0.1700427	0.812
