Symbol	Steatosis_1_vs_control	Steatosis_1_vs_control_pvalue	Steatosis_2_vs_control	Steatosis_2_vs_control_pvalue	Steatosis_3_vs_control	Steatosis_3_vs_control_pvalue
SGO1	-0.116806	0.675	-0.06098414	0.794	-0.10764441	0.667
LOC105374301	-0.1941468	0.675	-0.17631956	0.653	-0.12246311	0.802
CSKMT	0.1266074	0.675	0.15825132	0.525	0.36473707	0.282
C1S	-0.0740698	0.675	-0.08665584	0.534	-0.1111418	0.333
LOC105375322	-0.2098291	0.675	-0.21454804		-0.10304689	0.831
MROH6	-0.2195784	0.675	0.01519614	0.983	-0.05246052	0.93
EZH1	-0.0747376	0.675	-0.16803633	0.0843	-0.20296152	0.0447
FAM222A-AS1	0.3377139	0.675	0.46318386	0.397	0.40230682	0.592
TRNK	0.199323	0.676	0.3437764	0.374	0.75864661	0.201
SKIDA1	-0.1108637	0.676	-0.02968329	0.927	-0.07793646	0.753
PHKA2-AS1	-0.0823194	0.676	-0.08119383	0.634	-0.01244436	0.961
MAGIX	0.1568067	0.676	0.24683684	0.342	0.40961173	0.206
MKNK1-AS1	0.0815787	0.676	0.01543196	0.948	-0.0545863	0.835
CCDC3	0.1463871	0.676	0.23204375	0.586	0.20927316	0.598
LOC107987183	0.2473852	0.676	0.01770521	0.975	0.23285446	0.636
UQCC4	0.1187618	0.676	0.17213301	0.355	0.32455335	0.236
TRPV1	-0.0865751	0.676	-0.17332689	0.415	-0.15451047	0.674
RDH14	0.0656075	0.676	0.07619558	0.554	0.16066171	0.4
RTL8B	0.2210579	0.676	0.21546099	0.702	0.09063567	0.863
C7orf31	0.1402465	0.676	0.17133042	0.6	0.40691162	0.335
SNORA46	0.2708789	0.676	0.32586759	0.424	0.78564968	0.269
PLA2G5	0.2314416	0.677	0.14194399	0.824	-0.13232267	0.868
RTCA-AS1	-0.1400468	0.677	-0.17931792	0.551	-0.21233258	0.493
HECW2	-0.1313589	0.677	-0.05160828	0.833	-0.23940707	0.338
FGD5	0.0736191	0.677	0.03293303	0.891	-0.12174725	0.623
AMBP	-0.0838768	0.677	-0.11076969	0.67	0.02175371	0.945
SURF1	0.0823845	0.677	0.09461153	0.626	0.33150732	0.301
LINC00857	0.1787216	0.677	0.24801145	0.564	0.47475114	0.16
FADS3	-0.0894006	0.677	-0.01832105	0.954	-0.03853479	0.875
NOP10	0.084906	0.677	0.24481486	0.144	0.57451654	0.148
REC114	0.1593529	0.677	0.16173662	0.619	-0.02130503	0.961
LINC00662	-0.0801814	0.677	-0.12273351	0.46	-0.12804419	0.551
CBFA2T2	-0.0543368	0.677	-0.12970375	0.257	-0.04884152	0.793
PABPC4-AS1	0.0934646	0.677	0.06368488	0.716	0.02785809	0.878
SEPHS2	-0.0936962	0.677	0.02502406	0.914	0.31540317	0.269
NUFIP2	0.0455839	0.677	0.090722	0.294	0.0308633	0.826
CCDC126	-0.0921749	0.677	-0.05234223	0.79	0.00545654	0.989
POLM	0.0753677	0.677	0.00604537	0.977	0.11340045	0.549
USP24	0.0501275	0.677	-0.01902463	0.785	-0.05101595	0.735
DNAJC11	0.0541233	0.677	0.02213842	0.873	-0.00410739	0.986
DNASE1L3	0.1325235	0.677	0.22009955	0.442	0.31688835	0.388
C4BPA	-0.1067651	0.677	-0.11379693	0.592	-0.07433625	0.779
OTOA	0.2519177	0.677	0.28528821	0.555	0.16153913	0.778
C22orf23	0.1147298	0.677	0.16241645	0.423	0.09944259	0.755
NDUFS3	0.0921664	0.677	0.07654267	0.697	0.15413097	0.577
LOC101928570	0.2410181	0.677	0.38208066	0.306	0.4240873	0.426
HOXB3	-0.1184203	0.677	-0.38892263	0.106	-0.26111951	0.335
CAMTA2-AS1	0.1079308	0.677	0.06107595	0.835	0.00509902	0.99
HEYL	0.196238	0.677	0.18301659	0.768	0.12516737	0.817
GPIHBP1	-0.2692199	0.677	-0.56263998	0.275	-0.49215439	0.348
FZD8	0.1113399	0.677	0.06616945	0.787	0.21604195	0.388
SYCE1	-0.6372826	0.677	-1.45588162	0.125	-1.16456155	0.26
MTHFS	-0.0847357	0.677	0.01418755	0.96	0.24019034	0.423
ONECUT2	0.124195	0.677	0.07240187	0.799	-0.03491959	0.924
IGKV3-20	0.4630021	0.677	0.33293422	0.642	0.71943618	0.458
COA6-AS1	-0.1237848	0.677	-0.05217749	0.857	0.20558946	0.632
STXBP6	-0.2154047	0.677	-0.62096096	0.12	-0.68222527	0.0429
TBCE	0.064523	0.677	0.03501304	0.795	0.09065075	0.478
IPO8	-0.0604289	0.677	-0.00890281	0.947	-0.01709597	0.905
ZNF415	-0.1189512	0.677	-0.2611288	0.191	-0.10317068	0.701
ACE2	0.2526677	0.677	0.02320381	0.973	0.17948753	0.777
LOC105374013	-0.0792198	0.678	-0.14388134	0.562	-0.25127477	0.37
LOC105375231	0.2367766	0.678	0.1477089			
WRN	-0.061827	0.678	-0.08880996	0.425	-0.12368569	0.459
USP32P2	-0.307138	0.678	-0.58810038	0.241	-0.23752444	0.78
CCDC144CP	0.2914292	0.678	0.1361747	0.851	-0.18596262	0.801
LOC101927178	0.0925951	0.678	0.18574133	0.227	0.27257458	0.0974
LOC107985046	-0.1235472	0.678	-0.158688	0.549	-0.22010491	0.515
LINC02880	0.2918607	0.678	-0.15248465	0.822	0.46643783	0.512
LOC107986713	-0.2408509	0.678	-0.25057358			
CENPBD2P	0.0777952	0.678	0.11076354	0.503	0.10847366	0.533
FBXO7	-0.0694113	0.678	-0.04025855	0.801	0.07636673	0.742
RPGRIP1L	-0.11287	0.678	-0.09870997	0.627	-0.24173095	0.219
BLM	0.2223472	0.678	0.48570154	0.2	0.46054766	0.191
LOC102724916	-0.1102956	0.678	-0.09693883	0.675	-0.19076251	0.436
PRKY	0.764762	0.678	0.76879396	0.604	1.04019298	0.527
H2AC6	0.0770432	0.678	0.14331175	0.301	0.41585828	0.147
MLIP	0.3970284	0.678	0.68446568	0.414	0.64285534	0.485
CELF2	0.1271382	0.678	0.15964575	0.59	0.18721928	0.475
DTX1	-0.1927915	0.678	-0.1367576	0.781	0.0221783	0.973
LOC102723722	-0.2651525	0.678	-0.12480125	0.835	-0.17512603	0.806
SYNCRIP	-0.0531508	0.679	-0.00340627	0.981	-0.02929445	0.717
LOC107985009	-0.2178406	0.679	-0.33797752	0.473	-0.28569474	0.586
ARHGAP27P1-BPTFP1-KPNA2P3	-0.0661182	0.679	-0.14318752	0.371	-0.09556424	0.613
LOC101927741	0.0799256	0.679	-0.01886032	0.905	0.16764538	0.5
LOC440084	0.3064026	0.679	-0.02442233	0.97	0.46219105	0.44
KLK11	-0.8538376	0.679				
BTLA	-0.2171581	0.679	-0.20639782	0.668	-0.05021547	0.948
FAM184B	-0.0854092	0.679	-0.17180077	0.14	-0.23065358	0.145
SLC29A3	0.1063831	0.679	0.25371738	0.271	0.30075561	0.168
MYH7B	0.2331722	0.679	-0.1115549	0.63	-0.17637754	0.556
HPS3	-0.1348775	0.679	-0.14891355	0.486	-0.23679205	0.356
ARHGAP22	0.1203814	0.679	0.15920336	0.644	-0.00542607	0.991
LOC105376622	-0.293233	0.679				
ELK1	-0.0573218	0.679	0.03620235	0.785	0.0455327	0.803
RBM44	-0.1691226	0.679	-0.05502975	0.92	0.05483959	0.915
GIMAP5	0.1070745	0.679	0.1231367	0.488	0.16172103	0.517
ZPLD2P	0.1341061	0.679	0.1753355	0.535	0.35492262	0.183
RPAP2	-0.0514799	0.679	-0.10314557	0.249	-0.1370258	0.205
TTF2	0.1164818	0.679	0.05368331	0.788	0.12329076	0.65
EMX1	-0.1925934	0.679	-0.28952287	0.561	-0.40411565	0.463
LOC107985926	-0.2244274	0.679	-0.35227375	0.406	-0.42438349	0.275
FAM131A	0.1389708	0.679	0.01914226	0.959	0.03882581	0.924
THAP9-AS1	-0.1001262	0.679	0.0011788	0.995	-0.11721276	0.57
RGS7BP	0.2146473	0.679	0.35720593	0.497	0.23568063	0.668
CHRNA10	0.177611	0.679	-0.01329873	0.966	-0.07526508	0.878
SELENOH	-0.0665266	0.679	-0.0024575	0.99	0.26136557	0.458
PIWIL4	0.2295129	0.679	0.32453924	0.496	0.14099368	0.786
NDE1	-0.1381224	0.679	-0.2732949	0.211	-0.23019281	0.33
USH2A	-0.1714726	0.679	-0.05450233	0.93	-0.34737673	0.318
CALB1	-0.1010857	0.679	0.12114475	0.703	-0.032749	0.919
ZC3H7A	-0.0620474	0.679	-0.02302744	0.854	-0.0316061	0.829
DISC2	0.1766376	0.679	0.20876767	0.613	0.30671768	0.428
AJUBA	0.1774591	0.679	0.30154873	0.365	0.49033119	0.116
SLC39A8	-0.0868731	0.679	-0.10694321	0.517	-0.07384849	0.63
NUDT6	-0.0742193	0.68	0.00314828	0.989	0.13173321	0.526
PPIC-AS1	0.2138467	0.68	0.31138054		0.17843466	0.721
ZNF143	0.0554922	0.68	0.08976605	0.548	0.10895124	0.389
LINC00612	-0.1855368	0.68	-0.1178458	0.748	-0.18443413	0.615
LOC107984450	0.2264058	0.68	0.25772742	0.49	0.42508626	0.295
SLC25A30	-0.1130953	0.68	0.01971064	0.93	-0.14074574	0.483
GOLGA8K	-0.0826668	0.68	-0.13802017	0.438	-0.23217232	0.26
TCFL5	0.0850548	0.68	0.10128389	0.498	0.14199623	0.448
SLC2A10	0.1404171	0.68	0.12585201	0.552	0.18989129	0.409
MAGEH1	0.0988415	0.68	0.18855816	0.21	0.25665089	0.384
BBS4	-0.0642283	0.68	-0.0664239	0.585	-0.08486067	0.531
LOC107985012	-0.1417167	0.68	-0.00571195	0.989	-0.11813068	0.773
LANCL1-AS1	0.2195701	0.68	-0.10461029	0.641	-0.17925242	0.591
TTC22	-0.1168395	0.68	0.01332142	0.961	-0.12286059	0.573
COPS6	-0.0704215	0.68	0.01823727	0.939	0.17581225	0.61
STAC	0.2177255	0.68	-0.15662431	0.788	-0.04189222	0.957
LOC105375489	0.0927725	0.68	0.19177861	0.232	0.34584882	0.325
UPF2	-0.0584116	0.68	-0.09157357	0.522	-0.12050154	0.509
ZNF641	-0.0423385	0.68	-0.05325528	0.66	-0.07392963	0.405
MAP3K13	-0.0787994	0.68	-0.08725303	0.56	-0.12432643	0.442
LOC105371296	-0.2164783	0.68	-0.08495318	0.889	-0.38647454	0.479
LOC107986776	0.1687051	0.68	0.03993422	0.943	0.11584872	0.838
PRPS1	0.0590178	0.68	0.11346138	0.517	0.13833451	0.324
DRD5	-0.2891676	0.68	-0.33338673		-0.7429563	0.291
LOC105374505	-0.2603853	0.68	-0.14905075		-0.13786616	0.849
CXCL6	-0.3606539	0.68	-0.07351334	0.947	0.50892999	0.573
CDK5	0.1018302	0.68	0.133788	0.311	0.41934988	0.153
LOC107984256	-0.167444	0.68	0.01765737	0.969	-0.02518064	0.968
SNORD26	-0.1932294	0.68	-0.10651895		-0.20053232	0.647
ZNF140	0.0511437	0.68	0.09686999	0.299	0.157598	0.126
TARS3	-0.1067365	0.68	-0.21348277	0.0717	-0.15048804	0.284
SNORD35B	0.219128	0.68	0.27673114		0.42672977	0.321
LINC00652	-0.2387656	0.68				
SOGA1	-0.1199453	0.68	-0.05495449	0.885	0.0053367	0.989
PGM3	0.0926564	0.68	0.19930591	0.174	0.13403043	0.439
LOC105375359	0.1513005	0.68	0.21651306	0.509	0.20409169	0.531
MT1A	0.2530452	0.68	0.31961974	0.434	0.58787927	0.203
LOC105373142	-0.2213415	0.68				
DIAPH2	-0.0676162	0.68	-0.08580007	0.516	-0.15217794	0.227
HIPK3	-0.0755058	0.68	-0.07728333	0.485	-0.13636519	0.326
TMEM125	-0.3117131	0.68	-0.54189117		-0.51340549	0.476
ASB4	-0.3710091	0.68	-1.09726044	0.0141	-0.97880135	0.000646
LOC105376286	0.0830634	0.68	0.10727903	0.592	0.00368692	0.991
SNORD97	-0.1840533	0.681	-0.2069591	0.599	0.32218198	0.514
LINC02538	0.2293173	0.681	-0.04231462	0.947	0.26760272	0.523
SHANK2-AS1	0.1664977	0.681	0.10786794	0.771	0.0925373	0.861
LOC107986361	0.2161198	0.681	-0.06684804	0.826	-0.06514434	0.841
NCOA2	-0.0480066	0.681	-0.04362154	0.686	-0.07183414	0.505
THOC7-AS1	0.1174973	0.681	-0.05017093	0.879	-0.12688225	0.721
HLA-DOB	-0.2787916	0.681	-0.29194912	0.52	-0.27846131	0.652
FAM21EP	-0.1418365	0.681	-0.11600683	0.661	-0.14752624	0.601
ELF1	0.0558143	0.681	0.12430851	0.202	0.08097387	0.418
AARS1	0.080021	0.681	0.04454779	0.79	0.08005963	0.671
FAM239C	0.4958692	0.681	0.59304217	0.536	1.00944573	0.249
MYORG	0.1062966	0.681	0.0466948	0.885	0.08397155	0.731
UNC5CL	0.166326	0.681	0.03401873	0.933	0.1664494	0.692
LLPH	0.0565917	0.681	0.11522061	0.227	0.15389529	0.172
OSBPL2	0.0490684	0.681	0.01687242	0.888	0.03071453	0.844
IGLJ3	-0.4315006	0.681	-0.57142054	0.444	0.49817513	0.416
TMEM18-DT	-0.240578	0.681	-0.08226092			
LOC90246	0.3323486	0.681				
ADIPOR1	0.0502722	0.682	0.06896605	0.504	0.17530808	0.347
IGKJ1	0.4309087	0.682	0.17898366	0.822	0.48330053	0.648
LINC01934	-0.296424	0.682	-0.55586783		-0.32867659	0.615
STAB1	-0.1288138	0.682	-0.07672504	0.765	-0.17070096	0.513
WWC1	0.147162	0.682	0.11566358	0.693	0.19114816	0.626
SSH3	-0.0919952	0.682	-0.08963042	0.637	-0.10662829	0.666
RPA4	-0.1282351	0.682	-0.30554506	0.193	-0.2174639	0.54
BET1L	0.0732237	0.682	0.06550226	0.693	0.18085931	0.151
MIR1291	0.2678712	0.682	0.06399276	0.912	0.39897157	0.538
DYM-AS1	-0.2051979	0.682	-0.13692489		-0.08571116	0.882
MAP6D1	0.2178109	0.682	0.0598238	0.876	0.14604524	0.72
SEC24A	0.0958714	0.682	0.17954312	0.313	0.29348467	0.0348
LOC107984573	0.0942205	0.682	0.15077028	0.468	0.12337908	0.779
FBXO46	-0.0868252	0.682	-0.20606476	0.139	-0.13288123	0.528
LOC107987362	-0.2397	0.682	-0.14602255		-0.13069507	0.833
LOC107986332	-0.3310667	0.682	-0.40759658			
SLC26A4	-0.2930278	0.682	-0.10541703			
ZNF549	-0.135458	0.682	-0.03098449	0.914	-0.02514156	0.948
SNORD58B	-0.1082493	0.682	-0.11021917	0.677	0.07531205	0.865
NPAS2	0.2331649	0.682	-0.0371381	0.935	0.59271489	0.212
CENPS-CORT	-0.1010771	0.682	-0.06795437	0.766	0.02510472	0.938
INTS14	0.0468578	0.682	0.07123755	0.417	0.10923231	0.386
PCDHGA10	-0.1094635	0.682	-0.07174756	0.745	-0.12827265	0.657
NR1I2	-0.0875906	0.682	-0.06445949	0.832	-0.25722369	0.265
SIKE1	-0.0494134	0.682	-0.02206787	0.823	-0.05161232	0.57
GEMIN8P4	-0.1362081	0.682	-0.04783498	0.897	0.00824234	0.983
SCARB2	0.0634959	0.682	0.10178585	0.279	0.07385304	0.56
GLYATL1	0.0765182	0.682	0.08286846	0.689	0.17889637	0.131
MRPS35	0.0572505	0.682	0.12204955	0.325	0.19557308	0.312
IFIT1	0.2326266	0.682	0.06623451	0.826	0.10488537	0.752
SNORA12	-0.1355841	0.683	-0.09357863	0.714	0.29539364	0.507
HCG14	-0.2356926	0.683				
HTR7P1	0.1090487	0.683	0.18937235	0.375	0.17084129	0.448
SLC8B1	0.0860738	0.683	0.11514679	0.442	0.18885572	0.243
LINC00324	-0.1115273	0.683	-0.14161702	0.454	-0.05702779	0.873
TUBB4A	0.2532477	0.683	0.29916369		0.11881414	0.81
LOC105372480	0.1035458	0.683	0.13030811	0.555	0.34106796	0.291
PRPS2	-0.0668407	0.683	0.00643015	0.972	0.00806874	0.965
FUNDC1	0.0920064	0.683	0.19176211	0.222	0.21147043	0.384
SHLD3	0.1000465	0.683	0.11208197	0.489	0.19403605	0.409
CNTRL	-0.062949	0.683	-0.12455077	0.285	-0.17638707	0.394
CNTNAP3P2	0.1530468	0.683	0.12648175	0.713	0.17039182	0.716
RNF34	0.0885494	0.683	0.0095812	0.939	0.02798216	0.87
CA5A	0.0993744	0.683	-0.01197037	0.971	0.10390804	0.624
PPP6R1	0.0594796	0.683	0.02964167	0.844	0.11935247	0.246
TEX15	0.2672374	0.683	0.33054134	0.547	0.11346812	0.874
SYNE3	-0.1175379	0.683	-0.18404182	0.536	-0.0947805	0.813
RUNX1T1	0.1304985	0.683	-0.04375272	0.905	-0.16859888	0.572
TCTN1	-0.0570224	0.683	-0.05444223	0.684	0.0445209	0.822
LOC105369771	0.2279266	0.683	0.02322774	0.973	-0.14402182	0.814
FHIT	-0.0939167	0.683	-0.13592424	0.366	-0.02914443	0.91
ZNF316	0.0766866	0.683	0.00245431	0.992	0.01311887	0.961
MAT2B	-0.0717491	0.683	0.03278077	0.853	0.00868854	0.974
KANSL3	0.0512831	0.683	0.01231359	0.899	-0.0388248	0.844
NRM	-0.1222993	0.683	-0.02530515	0.94	-0.09066593	0.759
CLHC1	-0.1259353	0.683	0.09940633	0.713	-0.05338957	0.865
LOC107986178	0.462354	0.683				
LOC105376065	-0.2247289	0.683	-0.43339083	0.212	-0.46774202	0.23
LOC105376266	-0.0989298	0.683	-0.14881885	0.303	-0.19854221	0.483
LOC105374928	0.3374877	0.684	0.23940055			
BRD3	0.0760536	0.684	0.08263915	0.562	0.0899291	0.673
GSTP1	0.1944957	0.684	0.19491787	0.668	0.46160405	0.435
LAMTOR4	0.0757568	0.684	0.1185229	0.411	0.35955533	0.221
UGCG	0.1190694	0.684	0.18733182	0.405	0.13073312	0.45
LOC107987373	0.0886529	0.684	0.22310842	0.296	0.50883462	0.263
LOC105369383	-0.122488	0.684	-0.173049	0.425	-0.18010902	0.564
IL1RL1	0.2951173	0.684	0.34843644	0.459	0.61423767	0.287
LOC105375097	0.3969867	0.684	0.60624678	0.479	0.40643328	0.681
LOC105371531	0.1452524	0.684	0.00590713	0.987	0.01051835	0.981
ADAMTSL5	0.1980651	0.684	0.19961278	0.629	0.28981774	0.477
LOC105374570	-0.2824656	0.684	-0.14721064		0.10786752	0.855
MAPK8IP1P2	0.6284909	0.684				
APBA3	0.0844158	0.684	0.0760307	0.674	0.24405637	0.21
DMPK	-0.1477042	0.684	-0.36436289	0.0367	-0.33066629	0.166
ZNF677	0.1570341	0.684	0.03535733	0.928	-0.06152327	0.865
ACTN2	0.4754118	0.684	-0.33424101			
PFKFB1	-0.111378	0.685	-0.23193131	0.264	-0.20708968	0.435
POLR3F	0.0692879	0.685	0.10932459	0.395	0.0837736	0.535
COG1	0.0477688	0.685	0.06598024	0.401	0.068775	0.462
SEC16B	-0.115922	0.685	-0.20852936	0.315	-0.06511692	0.83
RAB3A	-0.1803022	0.685	-0.16559058	0.695	-0.31824021	0.418
GP6	-0.2008611	0.685	-0.02009101		-0.47431712	0.217
MAT2A	-0.0758762	0.685	0.00953967	0.968	-0.0548657	0.766
TIFA	-0.0897054	0.685	-0.06071994	0.797	-0.10879017	0.523
TBXAS1	0.1071191	0.686	0.24568722	0.294	0.19310866	0.399
PTEN	0.0660218	0.686	0.09155434	0.43	0.05088364	0.661
LOC107987224	0.1993002	0.686	0.0862567	0.874	-0.09681919	0.849
MPV17L	-0.1245316	0.686	-0.21207423	0.35	-0.14835969	0.612
SH3TC2	0.1734068	0.686	-0.04469473	0.929	0.04105769	0.924
MEOX1	0.484729	0.686				
RAP1B	0.0516405	0.686	0.13649636	0.144	0.17506999	0.137
AP3M2	0.1030495	0.686	0.1054768	0.627	-0.00643174	0.981
METTL2A	0.0504351	0.686	0.11320694	0.314	0.14657807	0.265
ATP5MF-PTCD1	0.0602236	0.686	0.12118482	0.298	0.29582209	0.374
APOBEC3D	0.1844223	0.686	0.17092083	0.666	0.23430727	0.516
PPP3CA	0.0875957	0.686	0.23685518	0.178	0.23229351	0.142
TMEM123	-0.0953599	0.686	0.03187279	0.867	0.04170761	0.858
USP32P3	0.2865841	0.686	0.19346217	0.773	-0.1513402	0.822
ZNF426	0.1154514	0.686	0.16752534	0.408	0.15011059	0.612
PIF1	0.1973327	0.686	0.05847129		0.17797281	0.716
FAM215B	0.1862053	0.686	0.08024003	0.837	-0.05119531	0.927
CCN1	-0.2589855	0.686	-0.04172444	0.962	-0.51379135	0.207
ARRB1	0.1006681	0.686	0.05627397	0.766	0.05942905	0.784
TRNY	0.123156	0.686	0.17349297	0.495	0.53170785	0.178
BMS1P21	-0.1484381	0.686	-0.13572223	0.735	-0.35443605	0.246
TRPC5OS	-0.2289103	0.686	-0.27099742		-0.2142931	0.682
LOC102723564	0.1025704	0.686	-0.08451947	0.811	-0.17228118	0.741
BACE1-AS	-0.0876726	0.687	-0.04554561	0.823	-0.17569719	0.4
SCN4B	0.4858926	0.687	-0.90808153	0.272	-1.17103187	0.152
LINC02166	-0.1657894	0.687	-0.36767907	0.221	-0.25508023	0.451
ETDC	-0.1510246	0.687	-0.29866251		-0.14827145	0.768
SCX	0.1832605	0.687	0.09085855		-0.04799139	0.943
NEK2	0.3475907	0.687	1.04807261		1.14573527	0.129
DDX1	0.0638833	0.687	0.05162888	0.622	0.04514177	0.711
STAM	0.0438102	0.687	0.06234659	0.464	0.04668607	0.608
LOC107985217	-0.2663848	0.687	0.12619891		0.24028203	0.709
LOC101928797	-0.2965695	0.687	-0.19801025	0.795	-0.06256397	0.915
GPR45	-0.2117725	0.687	-0.2707561		-0.04465815	0.951
C3orf52	0.2734464	0.687	0.18145708	0.787	-1.08090579	0.0793
PCDHA2	0.3040339	0.687				
LOC112268153	0.2203382	0.687	0.1072206	0.85	0.30258231	0.646
LOC107984890	-0.1924698	0.687	-0.44721275		-0.32000389	0.679
DSTN	-0.0649356	0.687	0.05672312	0.745	0.09731865	0.731
LOC105374121	0.2566981	0.688	0.10241556	0.874	-0.31600031	0.566
TUBA1B	0.1544815	0.688	0.32815841	0.118	0.2580277	0.269
LOC105369140	-0.1938746	0.688	-0.01246476	0.984	-0.13207811	0.759
CCDC102B	0.206454	0.688	-0.07145316	0.842	-0.0813769	0.838
DRG2	0.0834787	0.688	0.10388147	0.544	0.06320937	0.709
STON1-GTF2A1L	-0.1509544	0.688	-0.09072093	0.866	-0.46958522	0.0692
COPS8	0.0688944	0.688	0.12277117	0.141	0.08339756	0.577
CYB561D2	0.1090329	0.688	0.24517229	0.179	0.28450784	0.296
SNORD73A	-0.1736418	0.688	-0.27158577		-0.44225111	0.281
SNORA104	0.1398491	0.688	0.35923203	0.339	0.11290536	0.789
DNAJC10	0.0895717	0.688	0.18950246	0.194	0.10238145	0.505
DOCK8-AS2	0.1840826	0.688	0.16014085	0.723	0.24815263	0.555
SNORA68	0.17683	0.688	0.1843489	0.61	0.66730897	0.158
LOC105374048	-0.1982453	0.688	-0.25589482		-0.10906378	0.847
H2BC15	0.1628642	0.688	0.3339433	0.335	0.64673532	0.197
RP1	-0.3373882	0.688	-0.73064292			
RAD23B	0.0511056	0.688	0.0939085	0.301	0.06760778	0.54
SEPHS1	-0.0542337	0.688	-0.02857593	0.819	0.02755614	0.832
CHTF18	-0.131559	0.688	-0.25503588	0.335	-0.10180834	0.771
ZNF652-AS1	-0.1395875	0.688	-0.13565557	0.669	-0.17474616	0.62
TTYH1	-0.1965065	0.688	-0.19919674		-0.15443625	0.79
DLGAP4	-0.0877783	0.688	-0.02714052	0.929	0.09086097	0.711
UBE2F-SCLY	-0.0808723	0.688	0.00840934	0.974	0.06076719	0.771
CCDC32	-0.0707541	0.688	0.00930279	0.965	-0.09499315	0.694
SMIM15	-0.0640992	0.688	0.030511	0.795	0.01306164	0.946
ANKS6	-0.1195497	0.688	-0.1483582	0.571	-0.04523564	0.905
LOC105370847	0.2693588	0.688	0.23099372	0.692	0.58470113	0.29
LAMA1	0.3530965	0.688	0.10649108	0.905	-0.17270745	0.8
SRCIN1	0.1539651	0.688	0.01857452	0.964	0.27165154	0.573
GPR183	-0.0698737	0.688	-0.09100774	0.495	0.01241994	0.948
EXOC5	0.0928802	0.688	0.1104055	0.462	0.03574328	0.831
BRF1	-0.0630682	0.689	-0.16092842	0.108	-0.17844314	0.266
LOC107985293	-0.2215343	0.689	-0.2994784			
MTFR1	-0.0791336	0.689	-0.01643737	0.947	-0.07622596	0.615
MOB2	0.0938333	0.689	0.11440351	0.463	0.24480981	0.172
LOC103611081	0.0752374	0.689	0.144292	0.333	0.0810927	0.677
LOC105372234	0.2491433	0.689				
NDUFA10	-0.0464213	0.689	-0.1132772	0.264	0.00600393	0.966
DDX52	0.0525347	0.689	0.06478686	0.598	0.04391246	0.772
DUS1L	0.0749846	0.689	0.02920794	0.894	0.12665275	0.404
RABL6	0.0996762	0.689	-0.04120612	0.749	-0.1167697	0.338
TMPO-AS1	-0.114024	0.689	-0.27139865	0.24	-0.27679781	0.227
NCF1B	0.1930557	0.689	0.18518233	0.679	0.26298186	0.51
MLKL	-0.1011287	0.689	0.05110949	0.829	-0.04323162	0.821
BARD1	0.1652356	0.69	0.15954051	0.662	0.18401086	0.462
LOC105379016	-0.1218558	0.69	-0.08942249	0.768	-0.12582643	0.768
ALOX15P1	0.2561076	0.69	-0.0345554		0.52182443	0.301
EXOSC6	0.093112	0.69	-0.03633721	0.879	0.10938509	0.688
H4C13	0.2376362	0.69	0.69260268	0.187	0.57091761	0.345
LOC105375422	-0.2036501	0.69	-0.033392		-0.23407913	0.621
RAP2B	0.1042296	0.69	0.22686362	0.37	0.28168905	0.211
DEFA3	0.5950752	0.69	1.12368051			
MS4A6A	0.1318967	0.69	0.21901514	0.27	0.20635706	0.612
PPDPF	0.1605211	0.691	0.33479986	0.372	0.3931598	0.358
TRPM6	-0.229729	0.691	-0.28547678	0.563	-0.3632262	0.468
LINC01979	0.5763644	0.691				
LOC101927073	0.1433975	0.691	0.02159518	0.963	0.19795268	0.466
TARS1	0.0875392	0.691	0.14624912	0.406	0.09322827	0.54
CXXC5	0.0675344	0.691	0.00432801	0.983	0.16693226	0.35
ADAM19	0.1772172	0.691	-0.00037747	0.999	0.07443501	0.87
ZFHX4-AS1	0.2713869	0.691	0.38025008			
LOC105375912	-0.1787112	0.691	-0.17621695	0.579	-0.17895604	0.612
DUSP6	-0.1528939	0.691	-0.19235704	0.564	0.05063705	0.87
SNORD8	0.2410403	0.691	0.05004805			
LOC112268147	0.0809154	0.691	0.12015911	0.49	0.13354071	0.466
MIR133A1HG	-0.1086005	0.691	-0.22426253	0.246	-0.27175173	0.203
ZNF217	0.0753787	0.691	0.01763258	0.935	0.14269649	0.527
ZDBF2	0.0776206	0.691	0.04427685	0.855	0.03419214	0.866
SLC20A1	0.1027369	0.691	0.23677225	0.304	0.1930878	0.428
ZNRD2	0.1089577	0.691	0.15947888	0.401	0.36262103	0.285
ZNF232	-0.0709888	0.691	0.03685041	0.851	-0.01206643	0.956
BEX2	-0.3784419	0.691	-0.58983188		-0.72252743	0.338
LINC02589	0.2081349	0.691	0.1403611		-0.12449941	0.826
FAM193B	0.0730571	0.691	0.00389728	0.987	0.06122874	0.803
CTAGE1	0.1286804	0.691	0.25217949	0.369	0.14203783	0.647
LOC101929128	-0.2616773	0.691	0.06796063	0.924	-0.51691353	0.344
KDM6A	-0.1219343	0.691	-0.17687001	0.497	-0.24353111	0.315
ZNF674-AS1	-0.074093	0.691	-0.05308466	0.8	0.00167435	0.995
LOC107985201	-0.2110044	0.692	-0.65857423			
ADAMTS13	-0.145479	0.692	-0.26816856	0.404	-0.20656112	0.518
NHSL2	-0.064566	0.692	-0.12886022	0.535	-0.13165901	0.484
RACK1	-0.0702267	0.692	0.00048174	0.998	0.13256055	0.708
SNHG15	-0.1198844	0.692	-0.02793245	0.934	-0.07498771	0.857
